sentence,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
A grande vantagem desse hotel é ser perto do aeroporto.,10.0,0.0,0.0,1.0,0.0181818181818181,1.0
Há uma estação de metrô relativamente perto também.,8.0,1.0,0.125,1.0,0.0196078431372549,0.0
"As fotos divulgadas não condizem tanto com a realidade do local, mas ainda assim valeu a estadia.",17.0,1.0,0.0588235294117647,1.0,0.0103092783505154,0.0
Bom para ficar um período curto.,6.0,1.0,0.1666666666666666,1.0,0.03125,0.0
horel em reforma.,3.0,0.0,0.0,0.0,0.0,0.0
quarto razoável ma so preco nao condis com o serviço prestado.,11.0,0.0,0.0,0.0,0.0,1.0
nao fui avisado sobre taxa de garagem.,7.0,0.0,0.0,0.0,0.0,0.0
15 reais para guardar o carro.,6.0,0.0,0.0,0.0,0.0,0.0
cafe da manha razoavel.ar condicionado miito barulhento,8.0,0.0,0.0,0.0,0.0,0.0
"Ótimo acesso, elevador, garagem, café da manhã regular, mas o salão de refeições é bem grande... quartos com um bom tamanho, recepcionistas muito ágeis.",24.0,0.0,0.0,0.0,0.0,1.0
"Fica ao lado do tremsurb, o que dá fácil acesso à rodoviária e ao aeroporto.",15.0,1.0,0.0666666666666666,1.0,0.0131578947368421,1.0
"Hotel com boa localização, próximo ao aeroporto.Cômodos simples mas em ordem e limpos.",14.0,2.0,0.1428571428571428,2.0,0.0232558139534883,1.0
"Ar-condicionado muito barulhento e atendimento da recepção muito atrapalhado.Servem um bom jantar, simples mas com qualidade e variedade compatível ao preço.",22.0,2.0,0.0909090909090909,2.0,0.0127388535031847,1.0
"Próximo do aeroporto mas com instalações precárias.Não tem elevador, você terá que subir com suas malas pela escada e sem ajuda de nenhum funcionário.Não gostei do quarto, bastante barulhento.Não gostei do banheiro, com porta sanfonada de pvc...tudo apertado e feio.O café da manhã é razoável, pelo preço...Apesar de barato, não pretendo me hospedar mais...Na minha opinião, vale pagar uns reais mais caro e ficar num local com mais qualidade.",76.0,6.0,0.0789473684210526,7.0,0.0158013544018058,1.0
"Apesar de simples o hotel é limpo, perto do aeroporto, perto das indústrias, bom café da manhã, boa janta, ar condicionado e Wi-Fi incluso na diária.",26.0,3.0,0.1153846153846153,3.0,0.0201342281879194,1.0
"Ideal para quem procura um lugar simples, com bons acessos e perto de canoas.",14.0,1.0,0.0714285714285714,1.0,0.0129870129870129,0.0
Recomendado para quem vai pegar o aeroporto muito cedo ou para quem chega muito tarde.,15.0,1.0,0.0666666666666666,1.0,0.0116279069767441,1.0
"Fica a 500 metros do terminal e possui transporte próprio para levar e trazer do aeroporto.Quartos amplos, com ar e frigobar.",22.0,2.0,0.0909090909090909,2.0,0.016,1.0
Aspecto ruim é que o Expressinho não possui elevador.,9.0,2.0,0.2222222222222222,2.0,0.0377358490566037,0.0
O hotel cujo o nome já faz a sua avaliação.,10.0,0.0,0.0,1.0,0.0232558139534883,1.0
"Expressinho está localizado perto da estação de metrô Farrapos.Com bares que fervem para darem a guinada pra noitada.Shopping com tudo que desejar,além de ter traslado gratuito para o aeroporto,precisando agendar apenas,15 minutos antes da partida.",40.0,4.0,0.1,4.0,0.0161290322580645,1.0
"Eu realmente não aconselho esse lugar, tudo é pessimo, o atendimento inicial, não tem elevador e se você ficar no quarto andar tem que subir tudo sozinho não tem ninguem para lhe ajudar, a comida?",35.0,1.0,0.0285714285714285,1.0,0.0051020408163265,1.0
"pelo amor de Deus, era um lixo, não consigui comer de tão ruim que era, para devolver foi um problema, o guarto não apresenta segurança, tem aspecto sujo",28.0,1.0,0.0357142857142857,1.0,0.0065359477124183,0.0
O quarto era pequeno e não tinha TV por assinatura.,10.0,1.0,0.1,3.0,0.0588235294117647,1.0
"A roupa de cama também não era nova.O café da manhã era bom, com frutas, iogurte, granola e outras coisas mais.A vantagem em ficar no hotel foi que não pagamos pelo transfer entre Hotel e Aeroporto.",38.0,2.0,0.0526315789473684,5.0,0.0252525252525252,1.0
"O Express estava lotado e resolvi ficar no Expressinho.Péssima idéia, tirando o atendimento cordial da recepção e o café da manhã que é comum aos dois hoteis, de resto é muito ruim.Barulho infernal a noite inteira, quarto pequeno, mobília velha, TV com péssima imagem.Enfim,,, evite.",48.0,6.0,0.125,8.0,0.0282685512367491,1.0
Voo cancelado e tive que ficar neste hotel.,8.0,1.0,0.125,1.0,0.0232558139534883,1.0
Não gostei nem um pouco.,5.0,1.0,0.2,1.0,0.0416666666666666,0.0
Cheguei no quarto e ele estava com cheiro de cigarro.,10.0,1.0,0.1,1.0,0.0188679245283018,1.0
"O ar condicionado muito velho, não deve ser limpo há anos.",11.0,0.0,0.0,1.0,0.0172413793103448,0.0
As roupas de cama não estavam limpas.,7.0,1.0,0.1428571428571428,1.0,0.027027027027027,0.0
"O hotel tem um transfer que leva para o aeroporto, mas não conseguimos pegar pois muitas pessoas esperavam por ele.",20.0,0.0,0.0,1.0,0.008695652173913,1.0
Realmente não recomendo!,3.0,1.0,0.3333333333333333,1.0,0.0416666666666666,0.0
Café bem ruinzinho.,3.0,1.0,0.3333333333333333,1.0,0.0526315789473684,0.0
Fica longe do centro mas perto do aeroporto.,8.0,1.0,0.125,1.0,0.0227272727272727,1.0
Estacionamento meio estranho sem segurança.,5.0,1.0,0.2,1.0,0.0232558139534883,0.0
Mas o hotel é limpo só que o bom é ficar nos quartos para os fundos os da frente sao barulhentos devido ao movimentosdos carros e do trem na rua.,30.0,1.0,0.0333333333333333,1.0,0.0068965517241379,1.0
"Hotel Express Expressinho é um um bom lugar para fazer um pit stop e seguir viagem quando em Porto Alegre, preço justo para os serviços que oferece, além disso o hóspede pode contar com o serviço de transfer aeroporto/hotel/aeroporto, principalmente levando-se em consideração o preço do taxi.Um café da manhã digno.",52.0,6.0,0.1153846153846153,6.0,0.0189873417721519,1.0
"Toalhas e lençóis brancos, frigobar e ar condicionado nos quartos.",10.0,1.0,0.1,1.0,0.0151515151515151,1.0
Não tem elevador.,3.0,1.0,0.3333333333333333,1.0,0.0588235294117647,0.0
"Possui também serviço de quarto e comida é farta, indico o filé a parmegiana.",14.0,1.0,0.0714285714285714,1.0,0.0129870129870129,1.0
Muito próximo do aeroporto e bom para quem vai ficar apenas uma noite e vai embarcar no dia seguinte.,19.0,1.0,0.0526315789473684,1.0,0.0099009900990099,1.0
Os quartos voltados à Av.,5.0,2.0,0.4,2.0,0.08,1.0
Farrapos são muito barulhentos.,4.0,1.0,0.25,1.0,0.032258064516129,0.0
"A/C não funcionava muito bem, antigo e barulhento.",8.0,0.0,0.0,2.0,0.04,0.0
"TV antiga, sem controle e péssima imagem.O hotel oferece transporte gratuito para o aeroporto, mas é disputado e para usá-lo é preciso sair com tempo.",26.0,1.0,0.0384615384615384,3.0,0.02,1.0
"Para quem precisar de pegar avião bem cedo como eu tive que fazer, este é o melhor hotel de Porto Alegre, bem baratinho e muito perto do aeroporto, os quartos são equipados com ar-condicionado e tv, de manhã é oferecido um café da manhã reforçado, fica a dica.",48.0,3.0,0.0625,3.0,0.0115384615384615,1.0
"Hotel feito somente para dormir, antes de uma viagem, café da manha bem simples, lanches até de madrugada, preço justo pelo serviço prestado.",23.0,1.0,0.0434782608695652,1.0,0.0070921985815602,1.0
Chuveiro demora demais a aquecer.,5.0,1.0,0.2,1.0,0.0303030303030303,0.0
"Cafezinho sempre quentinho na recepção, internet muito ruim.",8.0,1.0,0.125,1.0,0.0166666666666666,1.0
"Camas de mola, haja coluna amigos.",6.0,1.0,0.1666666666666666,1.0,0.0294117647058823,0.0
