sentence,pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,rule1,rule2,rule3,rule4,rule5,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,count_dictionary_words,count_named_entities,count_number_date_time,future_tense,count_url,count_elongated,count_mentions,emoji_polarity_score,emoticon_polarity_score,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
O que aconteceria se toda população perdesse a visão ? ,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.0746,0.746,0.0072999999999999,0.073,0.0931,0.931,0.0583,0.583,0.0,0.0,0.0746,0.746,0.0072999999999999,0.073,0.1072999999999999,1.073,0.0631,0.631,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0181818181818181,0.0
"1984 até hoje incute tão grande temor em a alma humana , pois , A A toda evidência , trata - se de uma situação extrema que em relação a a humanidade pode ser entendida como uma real potencialidade . ",4.0,6.0,3.0,1.0,0.0,7.0,0.0,7.0,1.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,0.125,0.125,0.125,0.125,0.1001249999999999,4.005,-0.04875,-1.95,0.07075,2.83,0.08165,3.266,-0.0109499999999999,-0.4379999999999999,0.143775,5.751,0.1237,4.948,0.13555,5.422,0.14635,5.854,0.0497,1.988,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,0.01,0.0
"Em o entanto , somente em o séc. XI , em uma academia de ciências fundada em o Cairo , é que foi identificada por a primeira vez uma gradação em o ato de perceber , que seria a passagem consciente de o "" ver "" a o "" decifrar "" ou "" ler "" ( MANGUEL , Uma história de a leitura , 2009 ) . ",3.0,10.0,1.0,2.0,1.0,11.0,0.0,10.0,1.0,1.0,2.0,16.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0601029411764705,4.087,-0.0523235294117647,-3.558,0.07025,4.777,0.0658382352941176,4.477,0.0129117647058823,0.878,0.078485294117647,5.337,0.0834411764705882,5.674,0.0908382352941176,6.177,0.0881617647058823,5.994999999999999,0.0163529411764705,1.112,50.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,5.0,0.0862068965517241,12.0,0.0418118466898954,0.0
"O cenário muda um pouco quando Dora entra em cena , sendo a primeira menina dentro de a trupe , e assim acaba preenchendo a lacuna de mulher , sendo mãe de muitos e esposa de Pedro Bala . ",1.0,5.0,4.0,2.0,2.0,5.0,0.0,8.0,0.0,1.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0525384615384615,2.049,-0.1242820512820512,-4.847,0.0608974358974358,2.375,0.0785897435897436,3.0650000000000004,-0.002051282051282,-0.08,0.0928974358974358,3.623,0.1242820512820512,4.847,0.1139743589743589,4.444999999999999,0.1111025641025641,4.333,0.002051282051282,0.08,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,0.0857142857142857,4.0,0.0212765957446808,0.0
Essa foi a marca distintiva de o estilo de José Saramago . ,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1095833333333333,1.315,-0.1775833333333333,-2.131,0.14925,1.791,0.1429166666666666,1.715,-0.0079166666666666,-0.095,0.1095833333333333,1.315,0.1775833333333333,2.131,0.14925,1.791,0.1429166666666666,1.715,0.0079166666666666,0.095,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.2727272727272727,3.0,0.0508474576271186,0.0
"1984 permite todas essas considerações e várias outras , ainda mais se o compararmos a outras obras parecidas , como Admirável Mundo Novo . ",0.0,2.0,2.0,0.0,1.0,4.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0222916666666666,-0.535,0.007125,0.171,0.0019583333333333,0.047,-0.01725,-0.414,-0.0385416666666666,-0.925,0.0399583333333333,0.959,0.007125,0.171,0.0019583333333333,0.047,0.02625,0.63,0.0385416666666666,0.925,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.1428571428571428,3.0,0.0214285714285714,0.0
Se é para criticar faça uma critica construtiva e não uma critica comparativa . ,2.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,0.2142857142857142,0.2142857142857142,0.2142857142857142,0.2142857142857142,-0.0627857142857142,-0.879,0.0,0.0,0.0,0.0,-0.0209285714285714,-0.293,0.0,0.0,0.0627857142857142,0.879,0.0,0.0,0.0,0.0,0.0209285714285714,0.293,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0769230769230769,1.0,0.0125,0.0
"Eu e ele começamos a ler juntos , e embora fosse bastante meloso e um pouco tolo apara dois admiradores de contos de terror , eu não posso dizer nem que odiei nem que amei . ",1.0,2.0,4.0,1.0,4.0,2.0,0.0,4.0,1.0,3.0,0.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.1388888888888889,-0.0130555555555555,-0.47,-0.0738333333333333,-2.658,-0.0279166666666666,-1.0050000000000003,0.0048333333333333,0.174,-0.0241666666666666,-0.87,0.1164444444444444,4.191999999999999,0.0795555555555555,2.864,0.16575,5.9670000000000005,0.1271666666666666,4.578,0.0241666666666666,0.87,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0303030303030303,1.0,0.0057471264367816,0.0
"Sacanagem demais , minha gente ! ",0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,1.0,0.0303030303030303,0.0
Ia ser só o apanhador em o campo de centeio e tudo . ,0.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0627692307692307,0.8160000000000001,-0.0642307692307692,-0.8350000000000002,0.0689230769230769,0.896,0.0747692307692307,0.972,-0.0038461538461538,-0.05,0.0627692307692307,0.8160000000000001,0.1009999999999999,1.313,0.0689230769230769,0.896,0.0747692307692307,0.972,0.0086153846153846,0.112,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0833333333333333,1.0,0.0188679245283018,0.0
