sentence,count_dictionary_words,count_named_entities,count_number_date_time,future_tense,subjectivity
O que aconteceria se toda população perdesse a visão ? ,9,0,0,0,0
"1984 até hoje incute tão grande temor em a alma humana , pois , A A toda evidência , trata - se de uma situação extrema que em relação a a humanidade pode ser entendida como uma real potencialidade . ",34,1,1,0,0
"Em o entanto , somente em o séc. XI , em uma academia de ciências fundada em o Cairo , é que foi identificada por a primeira vez uma gradação em o ato de perceber , que seria a passagem consciente de o "" ver "" a o "" decifrar "" ou "" ler "" ( MANGUEL , Uma história de a leitura , 2009 ) . ",50,3,1,0,0
"O cenário muda um pouco quando Dora entra em cena , sendo a primeira menina dentro de a trupe , e assim acaba preenchendo a lacuna de mulher , sendo mãe de muitos e esposa de Pedro Bala . ",33,2,0,0,0
Essa foi a marca distintiva de o estilo de José Saramago . ,11,1,0,0,0
"1984 permite todas essas considerações e várias outras , ainda mais se o compararmos a outras obras parecidas , como Admirável Mundo Novo . ",20,1,1,0,0
Se é para criticar faça uma critica construtiva e não uma critica comparativa . ,13,0,0,0,0
"Eu e ele começamos a ler juntos , e embora fosse bastante meloso e um pouco tolo apara dois admiradores de contos de terror , eu não posso dizer nem que odiei nem que amei . ",33,0,1,0,0
"Sacanagem demais , minha gente ! ",4,1,0,0,0
Ia ser só o apanhador em o campo de centeio e tudo . ,11,0,0,0,0
"Tive que ler "" Capitães de a Areia "" por causa de um trabalho em grupo de português . ",16,1,0,0,0
"O nome de o livro se deve a o fato , de Orwell ter escrito livro em 1948 e só enverteu os dois últimso algarismo por pressão de a editora ficando , 1984 . ",26,1,3,0,0
"Minha recomendação para o mestre sim , o cara é simplesmente , um de os melhores vai principalmente para as pessoas que não curtem ler , assim como eu em o ensino médio . ",30,0,1,0,0
"Aquele que não participasse era acusado de cometer crimidéia - ou idéias ilegais para o Partido , e , portanto um perigo a a segurança nacional . ",22,1,0,0,0
"Jorge Amado consegue contar essa história de modo sutil , e muito cativante sem perder é claro a realidade , o protesto contra o sistema de governo e a situação de nosso país . ",31,1,0,0,0
"Logo a cegueira afeta não só um pequeno grupo , mas grande parte de a cidade e assim sucessivamente . ",18,0,0,0,0
Algumas marcas em o texto aponta para um possível trauma sexual que Caulfield tenha sofrido . ,14,1,0,0,0
Como resenhar um clássico ? ,4,0,0,0,0
Sabia o que queria e correu atras para poder comendar o império que seu pai criara . ,15,1,0,0,0
O melhor de o grupo . ,5,0,0,0,0
Deixo claro que comecei a ler pois todos falavam de esta série . ,12,0,0,0,0
"Vejo como única forma de "" fugir "" de a manipulação de a sociedade , o estudo e a aquisição de conhecimento . ",19,0,0,0,0
"Afirmo que "" Se Houver Amanhã "" é uma trama que envolve paixões , aventura e até suspense , que Sheldon conseguiu dosar como pouquíssimos autores conseguem . ",22,2,0,0,0
"A o longo de a narrativa , somos apresentados a os diversos personagens que compõem o grupo . ",16,0,0,0,0
"De os seus primeiros diamantes , Jamie fundará uma companhia de comércio que será a sua vida e de todos os seus descendentes . ",21,1,0,0,0
"É meio zen-budista , e isso marcou muito . ",6,0,0,0,0
"Não tinham uma casa onde pudesse viver e brincar , apenas um trapice abandonado que continha diversas crianças . ",16,0,1,0,0
"Isabella está entre a vida e a morte , mas Edward chega a tempo e chupa o veneno de a mordida e tudo fica bem . ",22,2,0,0,0
"Livro muito bom , abandonei mas porque a leitura é dificil e eu ja tinha visto o filme , o que tira um pouco de o gosto por a leitura , mas eu recomendo ! ",29,0,0,0,0
"Ler 1984 em os dias de hoje é como ler sobre a vida , o dia-a-dia . ",13,0,1,0,0
"Valdeck Almeida de Jesus Poeta , Escritor , Jornalista www.galinhapulando.com ",7,3,0,0,0
"matar a pessoa dita "" subversiva "" não matava o ideal de ela , que continuava em o ar . ",16,0,0,0,0
"Perdeu - se em a historia o sentido de a palavra "" vampiro "" , não há vampiros em a historia para mim . ",19,0,0,0,0
Edward Cullen é um personagem doentio . ,5,1,0,0,0
"Onde um grupo de menores de idade se organizam em uma quadrilha que se esconde em um barracão abandonado a a beira mar e se auto-denominam "" Capitães de a areia "" . ",29,1,0,0,0
Eu não entendia por que Bella prefere Edward e não Jacob . ,8,3,0,0,0
"Lá , ela conhece Edward Cullen um vampiro que só bebe sangue de animais . ",12,1,0,0,0
"Não descreve cenas de ação entre vampiros , como muitos que não conhecem a históra imaginam , mas vale a pena . ",18,0,0,0,0
"Suas atitudes por vezes impiedosas não nos faz deixar de ter a certeza de que eles não eram maus , apenas não tinham chances de serem bons . ",26,0,0,0,0
"Os motivos por o qual a guerra iniciou , assim como seus desdobramentos eram constantemente alterados por o ministério de a verdade , por Winston . ",22,1,0,0,0
A época de sombras que o livro trata é o nosso presente . ,12,0,0,0,0
"Tudo começa com Jamie McGregor , um jovem escocês pobre que parte para a África de o Sul em busca de fortuna . ",19,3,0,0,0
Ela merecia uma vida . ,4,0,0,0,0
"O menino manco tinha grande talento para a dissimulação , por isso se especializara em a tarefa de espião de o bando . ",21,0,0,0,0
"Como diria Caetano : "" Alguma coisa está fora de a ordem ... "" Ah , e cá pra nós : falar só em beleza e riqueza quanta futilidade ... ( Crianças em o mundo real nem sempre o que/quem é belo será o melhor para vc e te fará feliz ) . ",41,1,0,0,0
"Dissa o que tinha que dizer , se forem ver os dois lados de essa comparação verão que foi algo totalmente ridiculo . ",19,1,1,0,0
""" A partir de essa metáfora , podemos inferir diversos significados sobre o estado emocional de o personagem , seus desejos mais recônditos , vivências e expectativas que , de certa forma , se relacionam com sua trajetória de vida em o romance . ",37,0,0,0,0
Que o filme é o menos chato . ,7,0,0,0,0
"E isso incluí Malu , a paixão e orgulho de seu pai . ",11,1,0,0,0
Mas não é definitivamente um empeçilho . ,5,0,0,0,0
E Edward é o vampiro que toda mulher sonha em ter ! ,10,1,0,0,0
"Pessoas reclamam de o tempo perdido em as ruas , outras buzinam seus veículos em a tentativa fracassada de adiantar o tempo . ",20,0,0,0,0
"Inteligente , era quem planejava os roubos . ",6,1,0,0,0
"Não acho que isso se deva só a os leitores "" de fachada "" , mas sim que o livro se adapta a os leitores que possuem um determinado estilo de vida . ",29,0,0,0,0
"Não me identifico muito com o livro , mas é claro que havia ali preocupações universais de adolescentes . ",17,0,0,0,0
"Esto ansioso para ler a sequencia , que não foi escrita por Sheldon , uma vez que já é falecido . ",17,1,0,0,0
"Isso era mentira , mas como provar que não era ? ",9,0,0,0,0
"Todos , meninos sozinhos , perdidos , que precisam de atenção , de vida . ",10,0,0,0,0
Ela faz fortunas de esta forma e fica conhecida em a alta sociedade . ,13,0,0,0,0
"Em uma tentativa frustrada de arrancar um confissão de o mafioso , Tracy acaba sendo acusada de assalto a mão armada e roubo de um quadro em o valor de meio milhão . ",29,1,1,0,0
"Segundo frase memorável , "" o poder não é um meio , mas um fim em si "" . ",14,0,0,0,0
"Enfim , "" "" Ensaio Sobre a Cegueira "" é um livro escrito por um gênio e traz uma de as mais sensíveis reflexões sobre a condição humana em situações extremas . ",27,0,1,0,0
"Cada um de os meninos-homens abandonados , integrantes de os Capitães de a Areia , tem sua história , todas lindas , impossível não criar afeição . ",21,2,1,0,0
"É em esse último que trabalha Winston Smith , cuja função é eliminar ou adulterar documentos , entre os quais se destacam edições já publicadas de o Times , principalmente aquelas que apresentam previsões de o Grande Irmão que não se confirmaram ou mencionam pessoas que foram vaporizadas ( pessoas que desaparecem em o meio de a noite e , a partir de então , não são mais mencionadas , sendo sua existência anterior negada e apagada de qualquer registro ) . ",71,3,0,0,0
"Mas Caulfield - assim como dito em o livro - é muito bom em esse negócio de não se encaixar em padrões , tão bom que torna - se chato , tão bom que parece esforçar - se demais para estar deprimido , tornando - o falso . ",38,1,0,0,0
"Se podes ver , repara "" ( epígrafe de a obra ) Boa leitura ! ",10,1,0,0,0
"Se passa em um mundo completamente novo , onde todos os nossos países estão agrupados em apenas três grandes Estados , depois de uma guerra atômica . ",24,1,1,0,0
"Enfim , não é um livro essencial mas também não é "" tempo perdido "" . ",12,0,0,0,0
"Podemos ver claramente aí o que o autor quer nos dizer : esses jovens , apesar de marginais , são totalmente desprovidos de amor e carinho , e não é por conta de o fato de viverem de a violência que os tornam mais propensos a repelirem esses sentimentos - por o contrário . ",48,0,0,0,0
A história começa com a notícia de a gravidez de Angela . ,10,1,0,0,0
"Penso que podemos debater mais e melhor essa coisa proposta sobre o aprisionamento de o homem , de o medo , de o controle , de a falta de vida , de luz e de ar que ele simboliza em tantos momentos . ",38,0,0,0,0
"Muita gente já falou , leu , comentou e brigou por conta de esta série . ",13,0,0,0,0
"Sim , Edward é perfeito e não é por causa de o filme e sua aparência . ",14,1,0,0,0
O jovem escocês parte para a África de o Sul em busca de fortuna . ,14,2,0,0,0
Ninguém me conhece ! ,3,0,0,0,0
"Mas , a os trancos e barrancos , ele vai aprendendo a amar Malu , que , com o passar de os anos , vai criando sua própria personalidade , para o horror de o pai . ",30,1,0,0,0
"A estória todo mundo conhece de cor e salteado ... A Bella é uma adolescente feinha que resolve ir morar com o pai , em uma cidade que ela odeia , para permitir que a mãe seja feliz . ",33,1,0,0,0
"Isso deve ter sido acrescentado só pra dar um ar de "" conto de fadas "" em a história . ",17,0,0,0,0
Para Holden Caulfield os anos dourados não são tão magníficos assim . ,9,1,0,0,0
"De acordo com a ficção de Orwell , o mundo se dividiria entre três grandes potências socialistas igualmente fortes e em constante guerra uma com a outra : Eurasia , Eastasia e Oceania . ",26,4,2,0,0
"Se estes recursos fossem distribuídos igualmente entre o povo , o mesmo poderia se tornar poderoso , colocando em risco a segurança de o Partido . ",23,1,0,0,0
"E derrepente vê - se envolto por uma cegueira , nada mais se vê e o caos começa . ",15,0,0,0,0
"Contendo pensamentos , contém - se revoltas . ",5,0,0,0,0
"Agora sim , alguém vai me xingar ... A o ter em mãos um livro sobre vampiros , e ainda por cima escrito por uma mulher , a primeira coisa que me veio A A mente foi que com certeza esses vampiros seriam bem diferentes de aqueles com que eu estava acostumada . ",47,1,0,0,0
"Eu poderia discutir todo o livro com vocês , mas não é essa a finalidade , o que posso dizer é que esse livro me fez passar por muitas emoções , e para mim tudo começou errado por causa de o dinheiro que todos buscavam . ",42,0,0,0,0
"Ela mantém a ordem interna de o "" país "" , pois a atenção e sentimento de raiva de todos estão voltados contra o exterior , os estrangeiros que são inimigos . ",27,0,0,0,0
"Se você somar os algarismos de 1984 , o resultado é 22 . ",9,0,2,0,0
"A o ouvir os ruídos , o soldado foi verificar o que estava acontecendo , assustou - se com o cego e deu - lhe um tiro em o meio de a cara . ",29,0,0,0,0
"Lembro direitinho quando li ele a primeira vez , com 14 anos , em uma tarde de temporal comendo toneladas de pudim de leite . ",21,0,1,0,0
