sentence,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,subjectivity
"Ambiente agradável, bons pratos, comida saborosa , bom serviço, vale a pena conferir, bom tempero, recomendo",0.1356666666666666,2.849,0.0638095238095238,1.34,0.0204761904761904,0.43,0.0903809523809523,1.898,-0.0083809523809523,-0.176,1.0
"Lugar muito agradável, comida excelente é importante o bom atendimento dos garçons.",0.1889285714285714,2.645,-0.1566428571428571,-2.193,0.1531428571428571,2.144,0.1632857142857142,2.286,0.0354285714285714,0.496,1.0
Recomendo.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedimos um pirarucu ao molho de tucupi e não arrependemos,-0.0191999999999999,-0.1919999999999999,-0.0973,-0.973,-0.015,-0.15,0.0211,0.211,0.0,0.0,0.0
"O Coqueiro verde serve uma deliciosa carne de sol, também contam com serviço de entrega o que é uma boa pedida para quem não quer sair de casa.. O serviço no restaurante é simples, a comida também, mas muito gostosa..",0.0633777777777777,2.8520000000000003,-0.0335333333333333,-1.509,0.0751999999999999,3.3839999999999995,0.0699777777777777,3.1490000000000005,-0.0020222222222222,-0.091,1.0
"Ambiente confortável, ótimo atendimento com um garçon simpático, ele nos contou a história do empreendimento e sempre bem solícito.",0.0792272727272727,1.743,0.0378181818181818,0.832,0.1094545454545454,2.408,0.1043636363636363,2.2960000000000003,0.0,0.0,1.0
Comida Boa por um bom preço.,-0.0611428571428571,-0.428,0.0452857142857142,0.317,-0.1455714285714285,-1.019,-0.0564285714285714,-0.3949999999999999,-0.0081428571428571,-0.057,1.0
O restaurante fica dentro do hotel Vila Amazônia,-0.1075,-0.86,0.0,0.0,-0.0855,-0.684,-0.104125,-0.833,0.1195,0.956,0.0
"Boa carne, atendimento eficiente e grande variedade de saladas.",0.2885454545454545,3.174,-0.297,-3.267,0.2537272727272727,2.791,0.289,3.1790000000000003,0.0038181818181818,0.042,1.0
Local agradável.,0.323,0.969,-0.1453333333333333,-0.436,0.2106666666666666,0.632,0.256,0.768,-0.0373333333333333,-0.112,1.0
Sucos com frutas locais além dos tradicionais.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Adoro as pizzas e o almoço, nas duas unidades.",0.0217272727272727,0.239,0.013090909090909,0.144,0.0,0.0,0.0101818181818181,0.112,0.0041818181818181,0.046,1.0
O atendimento também é muito bom.,0.0,0.0,-0.1361428571428571,-0.953,0.0032857142857142,0.023,0.0201428571428571,0.141,0.079,0.553,1.0
Delivery também vale super a pena.. a pizza chega bem quentinha!,0.1183076923076923,1.538,0.144076923076923,1.873,0.0707692307692307,0.92,0.111,1.443,0.0,0.0,1.0
"Estivemos no kawamura para provar o sashimi, mas acabamos provando outros pratos tbm, gostamos de tudo, porém faltou um pouquinho de tempero na costelinha de porco.",0.0119666666666666,0.3590000000000001,-0.0832333333333333,-2.497,0.0554333333333333,1.663,0.0490666666666666,1.4720000000000002,-0.0317,-0.951,0.0
Mas nada que nos impeça de voltar,-0.0494285714285714,-0.346,-0.1225714285714285,-0.858,-3.9650822308041295e-18,-2.775557561562892e-17,-0.0208571428571428,-0.1459999999999999,0.1114285714285714,0.78,0.0
"Tambaqui um dos peixes mais gostosos de Manaus e região você pode comprar e fazer o mesmo caldeirada ou assado na brasa com o famoso tucupi, pimenta da região.",0.0405483870967742,1.257,0.0054193548387096,0.1679999999999999,-0.0017096774193548,-0.053,0.0374193548387096,1.16,-0.0017096774193548,-0.053,0.0
Parada obrigatória sempre que vou a Manaus!!,0.084,0.756,-0.0612222222222222,-0.551,0.1026666666666666,0.924,0.0826666666666666,0.744,0.0,0.0,0.0
