has_opinion	sentence
1	notehbook da dell é um LIXO !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
0	#OFERTHEC Notebook Dell Inspiron i14-3442-B10 R$ 1.799,90* à vista ou em 4x sem juros no… https://instagram.com/p/7xZmfGHKF8/
0	Semana do Cliente FNAC continua com ofertas de Notebook Dell e Samsung http://quenotebookcomprar.com.br/semana-do-cliente-fnac-continua-com-ofertas-de-notebook-dell-e-samsung/ …
0	Problemas c/ o teclado do seu notebook Dell? Adquira um novo BB Baterias! Confira os preços: http://goo.gl/RymKrU
0	então vamos começar mudando para um Notebook Dell Vostro http://goo.gl/ZPW5sZ
1	@telmakalistos O problema é que o meu notebook que estragou era justamente da Dell. Não tive uma experiência boa com ela :(
0	Cargadores Originales Para Notebook:  -Acer -Asus -Dell -HP -Lenovo -Sony -Samsung -Toshiba -P. Bell -MAC
1	Eu odeio esse notebook da Dell, mano, vocês não tem noção. #SaudadesSamsung
0	Notebook Dell Vostro V14T-5470-B30 Intel Core i5 4GB (2GB de Memória Dedicada) 500GB LED 14" Touchscreen Windows 8... http://fb.me/J7liX8dJ
0	#DICA Compre um super notebook com qualidade Dell! Confira: http://goo.gl/mbRp7J  ??
0	Pense em qualidade ao comprar um notebook! Pense em Dell! ;) Compre com 5% de desconto à vista http://bit.ly/1K9xC32
0	Comece a semana com a qualidade de um Notebook Dell Inspiron e desconto de 5% à vista: http://bit.ly/1MmyNlw  =D
1	@pontofrio quero mandar de volta e cancelar a compra, não gostei desse notebook prefiro muito mais um Dell depois dessa HP nunca mais.
0	Análise: notebook Dell XPS 13 [vídeo] http://www.tecmundo.com.br/dell-xps-13/83034-analise-notebook-dell-xps-13-video.htm …
0	*Notebook Dell Latitude E6410 Core i5 2.6, 8gb ram, hd 250gb.. R$1100 parcelo..
1	@tmnobre Por nada! Eu tenho um notebook Dell e já passei muita dor de cabeça com ele.
0	Gostei de um vídeo @YouTube de @eloisasemh http://youtu.be/2gZjHq0pQQY?a  UNBOXING NOTEBOOK DELL A40
1	@Irma_Zuleide notebook gosto da marca dell. Sites: o próprio site da dell, americanas, magazine luiza
0	Cargadores Originales Para Notebook:  -Acer -Asus -Dell -HP -Lenovo -Sony -Samsung -Toshiba -P. Bell -MAC
1	VOLTA PRA MIM NOTEBOOK DA DELL SEU LINDO SINTO FALTA DE APERTAR SUAS TECLAS
0	VCM II ESCANER DE DIAGNOSTICO ORIGINAL FORD, MERCURY, LINCOLN U$ 550. *OPCIONAL NOTEBOOK DELL U$ 180. Plazo de... http://fb.me/6OUN7fMqB
1	Comprar memória pro notebook? Impossível! O jeito é reclamar da Dell no @ReclameAQUI: http://www.reclameaqui.com.br/14509101/dell-computadores-do-brasil/impossivel-adicionar-memoria-ao-notebook/ … @DellnoBrasil @Dell @Dellajuda
0	ninguém ai quer comprar um notebook da dell, i5 não?
0	Gostei de um vídeo @YouTube http://youtu.be/wvAH8s5UQHs?aNVIDIA … Offboard-Como ativar placa de video dedicada notebook Dell
1	Tinha um notebook Dell com falantes JBL e era um show. Troquei por um HP com Beats... FUÉN
0	Alguém tem um carregador de notebook da dell disponível ai pra doação? o meu já era...
0	Dell formatou meu notebook de graça via suporte remoto
1	Que merda de notebook esse Dell de bosta
0	Fonte carregadora notebook Dell - Alguém tem pra vender?
1	Vou te trocar, notebook. Foi muito bom esses 5 anos q passamos juntos, love u mas n da p ser assim #dell #2011 Link permanente da imagem incorporada
1	Estou extremamente insatisfeita com meu notebook Dell novo, pois a placa wireless Intel 7260 conectividade ruim @dellnoBrasil @intelbrasil
0	Gostei de um vídeo @YouTube http://youtu.be/88yjAQgkn4k?a[REVIEW …] Notebook Dell Inspiron 14 Série 5000 (5447)
1	A Dell viu meu nome e me vendeu o notebook com defeito, né possível! Um i5, 6GB de memória, q não rende o q uns i3 2GB rendem por ai ><
0	shauhsauhs comprei meu notebook deus e pai dell grilado
1	@hey_mika Acredite a Dell é uma das poucas marcas  de notebook que ainda prestam. Tinha um notebook da HP que obsensor Wi Fi derretia...
0	@hey_mika e comprar um adaptador usb, a Dell falou pra mandar o notebook pra garantia, mas ela não garantia o conserto e etc ¯\_(ツ)_/¯
1	Meu notebook atual veio com antivírus McAfee. MEU DEUS COMO É RUIM! Por que a Dell trocou a Norton por eles, hein?
0	Notebook Ultrafino Dell Vostro V14T-5470-A20 com Intel Core i5 4GB (2GB de Memória Dedicada)... http://fb.me/7xxI5q6DT
0	Gostei de um vídeo @YouTube http://youtu.be/wvAH8s5UQHs?aNVIDIA … Offboard-Como ativar placa de video dedicada notebook Dell
0	Dell Latitude E6510 Notebook Computer, Intel ... http://twib.in/l/9jjyGrBLrGE  #laptop #corei7 , https://twibble.io
0	@DellnoBrasil Olá,comprei uma bateria nova para meu notebook Dell inspiron N4050. Gostaria de saber qual o tempo da primeira carga.Obrigado!
0	Adicionei um vídeo a uma playlist @YouTube http://youtu.be/qwQ37Rmumxc?aPeixe … Dicas - Unboxing Notebook Dell Vostro 5470 a60
0	NOTEBOOK DELL INSPIRON 5558 I7-5500U 16GB RAM 1TB DISCO 15.6" 4GB-NVIDIA W8.1 AZUL PRECIO OFERTA $1560 DOLARES http://highpcsolutions.com/1/post/2015/09/notebook-dell-inspiron-5558-i7-5500u-16gb-ram-1tb-disco-156-4gb-nvidia-w81-azul-precio-oferta-1560-dolares.html …
0	O novo 2 em 1 Dell Inspiron 15 Série 7000 combina a versatilidade de um tablet com a produtividade de um notebook: http://buff.ly/1Q65phH
0	Vendo notebook Dell Vostro  Memória: 4gb DDR 3 HD: 500Gb Processador: Core i3 ** entrada HDMI ** 4 usb 3.0 **... http://fb.me/1VoIQpP7R
0	A Dell é uma empresa de soluções tecnológicas e criou o notebook 2 em 1 que pode ser aquele presente perfeito. O... http://fb.me/4adCzX8B3
1	Esse notebook da Dell tem uma tela LINDA, mas dá problema toda hora em driver de vídeo e é o que eu mais uso.
1	Quero comprar um notebook novo, esse aqui não dá mais, plmdds. Comprar da Dell foi a PIOR decisão que eu fiz, sério.
0	Notebook Dell I15-5548-B20 Intel Core i7 5ª geração por R$3.099,00 -  http://www.descontonanet.com/cupom/notebook-dell-i15-5548-b20-intel-core-i7-5a-geracao-por-r3-09900-2/ …  Link permanente da imagem incorporada
0	@Pirulla25 eu doaria para ajudar a comprar um notebook pra vc, R$3000 da pra comprar um Dell top, com placa de video e 8gb de ram
1	@DellnoBrasil compraria fácil um celular da Dell, depois do notebook que comprei amei
0	Dell Latitude E6410 14" Notebook Barbone, NO RAM,  HDD or CPU ,  MS528 …http://impressive-beautiful-products.buy2day.info/buy/01/?query=321852298960 …  Link permanente da imagem incorporada
0	Alguem me indica marcas boas de notebook? (alem de dell, asus, apple)
0	Vendo Notebook dell vostro semi.novo.
0	Planejando dar as famosas Pedaladas Fiscais para adquirir um notebook dell fodasso
0	Notebook Dell Inspiron +Mesa para Computador R$ 2.578,00 em até 10x ou R$ 2.320,20 à vista https://www.magazinevoce.com.br/magazinemrsiva/p/computadores-e-tablets/1503365/notebook-dell-inspiron-15-i15-3543-b30-intel-core-i5-4gb-1tb-mesa-para-computadorescrivaninha/122600/ …  Ver foto
0	Notebook dell processador i5 - 8gb de memoria - hd 320 gb - 400 reais
0	Oferta no @no @submarino: Intel Core i3 • 4GB 1TB”. R$1.614,05 no boleto http://www.submarino.com.br/produto/123055562/notebook-dell-inspiron-i14-3442-b10-intel-core-i3-4gb-1tb-tela-led-14-windows-8.1-preto?opn=AFLNOVOSUB&epar=b2wafiliados&loja=03&chave=AFL-150831-61562&franq=AFL-03-135757 …
0	Notebook Dell Inspiron 14 I14-3442-B10 Intel Core R$ 1.699,00 em 10x ou R$ 1.614,05 à vista https://www.magazinevoce.com.br/magazinemrsiva/p/notebook-dell-inspiron-14-i14-3442-b10-intel-core-i3-4gb-1tb-windows-81-led-14-hdmi/116679/ …  Link permanente da imagem incorporada
