lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,subjectivity
0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.8636363636363636,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,2.0,0.1,0.05,0.05,0.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,2.0,0.0,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0625,0.0,0.0625,0.0,1.0
1.0,1.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0
2.0,2.0,0.0,3.0,0.125,0.125,0.0,0.1875,0.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.09090909090909091,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,0.0,0.0,0.12,0.12,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,1.0
1.0,1.0,0.0,1.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0
1.0,1.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,1.0
1.0,1.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0
1.0,0.0,1.0,2.0,0.047619047619047616,0.0,0.047619047619047616,0.09523809523809523,1.0
2.0,1.0,1.0,1.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
2.0,2.0,0.0,1.0,0.13333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0
2.0,2.0,1.0,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.0
2.0,0.0,2.0,0.0,0.25,0.0,0.25,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0
2.0,2.0,0.0,0.0,0.06060606060606061,0.06060606060606061,0.0,0.0,1.0
2.0,0.0,2.0,0.0,0.10526315789473684,0.0,0.10526315789473684,0.0,1.0
1.0,1.0,0.0,1.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0
