lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,subjectivity
2.0,2.0,2.0,2.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.0,4.0,4.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0
1.0,1.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0
3.0,3.0,3.0,3.0,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,1.0
5.0,5.0,5.0,5.0,0.2,0.2,0.2,0.2,1.0
8.0,8.0,8.0,8.0,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,1.0
3.0,3.0,3.0,3.0,0.09375,0.09375,0.09375,0.09375,1.0
2.0,2.0,2.0,2.0,0.125,0.125,0.125,0.125,0.0
2.0,2.0,2.0,2.0,0.125,0.125,0.125,0.125,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.0
1.0,1.0,1.0,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0
2.0,2.0,2.0,2.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,1.0
2.0,2.0,2.0,2.0,0.05,0.05,0.05,0.05,1.0
5.0,5.0,5.0,5.0,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,2.0,2.0,2.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,1.0
4.0,4.0,4.0,4.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
2.0,2.0,2.0,2.0,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,1.0
4.0,4.0,4.0,4.0,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.06557377049180328,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,0.05,0.05,0.05,0.05,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.2,0.0
2.0,2.0,2.0,2.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
2.0,2.0,2.0,2.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0
5.0,5.0,5.0,5.0,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.09259259259259259,1.0
3.0,3.0,3.0,3.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,0.2,0.2,0.2,0.2,1.0
1.0,1.0,1.0,1.0,0.125,0.125,0.125,0.125,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,1.0
3.0,3.0,3.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
4.0,4.0,4.0,4.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,1.0
1.0,1.0,1.0,1.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,1.0
2.0,2.0,2.0,2.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0
2.0,2.0,2.0,2.0,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,1.0
2.0,2.0,2.0,2.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0
1.0,1.0,1.0,1.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
