count_dictionary_words,count_named_entities,count_number_date_time,subjectivity
10,0,0,1
8,0,0,0
17,0,0,0
6,0,0,0
2,0,0,0
7,0,0,1
6,0,0,0
5,0,1,0
6,0,0,0
24,0,0,1
14,0,0,1
14,0,0,1
22,0,0,1
74,0,0,1
25,1,0,1
14,1,0,0
15,0,0,1
21,0,1,1
8,2,0,0
10,0,0,1
37,2,0,1
33,0,0,1
26,1,0,0
9,0,0,1
36,2,0,1
44,3,1,1
8,0,0,1
5,0,1,0
10,0,0,1
11,0,0,0
7,0,0,0
19,0,0,1
3,0,0,0
3,0,0,0
8,0,0,1
5,0,0,0
28,0,0,1
46,2,0,1
10,0,0,1
3,0,0,0
13,0,0,1
19,0,1,1
4,1,0,1
4,0,0,0
7,1,0,0
24,0,0,1
47,1,0,1
23,1,0,1
5,0,0,0
8,0,0,1
6,0,0,0
14,0,1,1
1,0,0,0
33,1,0,1
7,0,0,0
54,0,2,1
23,1,0,1
11,0,0,0
32,0,1,1
12,0,0,1
20,0,0,1
18,0,0,0
12,0,0,1
19,0,0,1
21,1,0,1
9,0,0,1
9,0,0,0
11,0,0,1
17,1,0,1
7,0,0,1
8,1,0,0
8,0,0,1
6,0,0,1
7,0,0,0
16,1,0,1
21,0,0,1
6,0,0,1
23,0,0,1
48,0,0,1
3,0,0,1
36,1,0,1
18,0,0,1
9,0,0,0
8,0,0,1
5,1,0,1
27,0,3,1
47,0,0,1
15,0,0,1
13,1,0,0
9,0,0,1
22,0,0,1
6,0,0,0
37,0,0,1
35,0,0,0
13,0,1,0
2,0,0,0
14,0,0,1
11,0,0,0
41,1,0,1
18,0,0,1
14,1,0,1
52,0,1,1
27,0,0,1
21,1,0,1
16,0,1,0
8,0,0,1
3,0,0,1
19,1,0,0
5,1,0,1
5,1,0,0
9,1,0,1
9,1,0,0
4,0,0,0
13,0,0,1
17,1,0,0
13,0,1,1
5,0,0,1
29,0,0,1
3,1,0,0
23,1,0,1
9,0,0,0
7,1,0,0
13,0,0,1
14,0,0,1
13,0,1,0
23,0,0,1
16,0,1,1
14,0,0,0
13,0,0,0
15,0,0,1
15,0,1,0
13,0,0,0
8,0,0,0
4,0,0,1
6,0,0,0
10,0,0,0
24,0,0,0
26,0,0,1
12,1,0,0
18,0,2,0
17,0,0,0
14,0,0,0
18,0,0,1
24,0,0,1
9,0,0,1
15,0,0,1
8,0,0,0
31,0,0,1
4,0,0,0
15,0,0,1
19,0,0,0
8,0,0,0
10,0,0,1
10,0,0,1
27,2,0,1
24,0,0,1
15,1,2,1
31,1,0,1
11,0,0,1
11,0,0,0
7,1,0,1
25,0,1,1
17,2,0,1
15,1,2,1
16,1,0,1
12,1,0,1
11,0,0,0
5,1,0,0
23,0,0,1
8,1,0,0
23,1,1,1
17,0,0,0
7,0,0,1
21,1,0,1
16,2,0,0
16,2,1,1
24,1,0,0
8,0,1,0
25,1,0,0
21,1,0,1
12,0,0,1
4,0,0,1
16,0,0,1
5,1,1,1
11,0,0,1
11,1,1,0
15,0,0,1
10,0,0,0
53,0,0,1
12,0,0,1
4,0,0,1
8,0,0,1
5,0,0,1
10,0,1,0
24,2,0,1
15,0,0,0
3,0,0,0
18,1,0,1
0,0,0,0
8,0,0,1
2,0,0,0
14,0,0,1
7,0,0,0
10,1,1,0
53,0,1,1
29,0,0,0
1,1,0,0
9,0,0,1
5,0,0,1
8,0,0,0
9,0,0,0
15,0,0,0
4,1,0,0
5,0,0,0
4,0,0,1
13,0,0,1
4,0,0,0
19,0,1,0
6,0,0,1
30,0,0,0
31,0,1,1
51,0,1,1
2,0,0,0
32,1,0,1
17,0,0,1
7,0,0,1
10,0,0,0
6,0,0,0
19,2,0,1
80,8,1,1
8,0,0,1
41,3,1,1
13,1,0,0
20,3,0,1
19,2,0,1
9,2,0,1
25,3,1,1
27,6,0,1
57,14,0,1
21,0,1,1
16,0,0,1
9,0,0,1
53,0,0,1
5,1,0,1
26,0,0,1
31,1,0,1
4,0,0,1
5,0,0,0
69,1,0,1
5,0,0,0
8,0,0,1
9,1,1,1
11,0,0,0
16,0,0,1
25,0,0,0
20,0,0,0
7,0,0,0
5,0,0,0
12,3,0,1
7,0,0,1
9,0,0,0
10,1,0,0
15,0,0,1
15,1,0,1
4,0,0,0
1,1,0,0
17,0,0,1
7,0,0,0
32,1,0,1
22,2,0,1
16,0,0,1
12,0,0,1
7,0,0,1
12,0,0,1
7,0,0,1
11,0,0,1
10,2,0,1
12,0,0,1
8,0,0,0
7,0,1,1
17,1,0,1
9,0,0,1
4,0,0,1
11,0,0,1
9,0,0,0
15,4,0,1
9,0,0,1
8,0,0,1
2,1,0,1
16,3,0,1
12,1,0,0
11,2,0,0
15,0,0,1
10,0,0,1
10,0,0,1
14,0,0,0
6,0,0,1
12,1,0,0
4,0,0,0
6,0,0,1
7,0,0,0
5,0,0,1
6,0,0,1
36,0,1,1
8,2,0,0
11,0,0,0
9,0,0,0
5,0,0,0
7,0,0,0
16,0,0,1
19,0,0,1
26,0,0,1
11,0,0,1
12,0,0,1
1,0,0,1
15,1,0,1
12,0,0,1
17,0,0,1
11,0,1,0
19,0,0,1
9,2,0,1
12,0,0,0
16,0,0,1
37,0,0,1
8,1,0,0
7,0,0,0
58,0,0,1
46,0,1,1
10,0,0,1
9,0,0,1
8,0,0,1
19,0,0,1
13,0,0,1
16,0,0,1
5,0,0,0
30,0,0,0
19,0,0,0
2,1,0,1
35,1,0,1
17,1,0,1
16,0,0,1
15,0,0,0
19,0,0,1
19,0,0,1
8,1,0,1
50,0,0,1
25,0,0,0
32,0,0,1
2,0,0,0
16,0,0,1
13,0,0,1
16,0,0,1
25,0,0,1
6,0,0,0
11,0,0,1
5,0,0,0
2,0,0,1
9,0,0,0
10,1,0,1
2,0,0,0
8,1,0,1
6,0,0,0
39,1,0,1
11,0,0,1
9,1,0,1
5,0,0,1
15,0,0,1
5,0,0,1
19,1,0,1
9,0,1,1
27,0,0,1
8,0,0,0
37,2,0,1
30,0,1,1
12,1,0,1
23,0,0,1
4,0,0,0
18,2,0,0
36,0,0,1
27,1,0,1
22,1,0,1
35,1,0,1
14,1,1,0
3,0,0,0
15,0,0,1
16,0,1,1
14,1,0,0
12,0,0,0
30,0,2,1
34,0,2,1
46,0,1,1
10,0,0,0
11,0,0,0
20,0,0,1
7,0,0,1
21,0,0,1
12,0,0,1
11,0,0,0
18,0,0,1
15,0,0,1
7,0,0,1
16,0,0,0
11,0,0,1
13,0,0,1
15,0,0,0
4,1,0,0
11,0,1,0
8,0,0,0
11,1,0,1
4,1,0,1
6,0,0,0
32,0,0,1
8,0,0,1
21,0,0,1
21,0,0,1
6,0,0,1
4,0,0,1
37,1,0,1
11,0,0,0
10,0,0,1
2,0,0,0
0,0,0,0
7,0,0,0
14,0,0,0
5,0,0,0
12,0,0,1
26,0,0,1
17,1,0,0
5,0,0,0
15,0,0,1
23,0,0,1
15,0,0,1
6,0,0,1
24,0,0,1
17,0,0,1
2,0,0,0
31,2,0,1
6,0,0,1
2,0,0,0
0,0,0,0
2,0,1,0
45,2,0,1
19,3,0,1
29,1,0,0
14,0,0,1
9,0,0,0
