count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
10.0,0.0,0.0,1.0,0.01818181818181818,1.0
8.0,1.0,0.125,1.0,0.0196078431372549,0.0
17.0,1.0,0.058823529411764705,1.0,0.010309278350515464,0.0
6.0,1.0,0.16666666666666666,1.0,0.03125,0.0
3.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,1.0
7.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,0.06666666666666667,1.0,0.013157894736842105,1.0
14.0,2.0,0.14285714285714285,2.0,0.023255813953488372,1.0
22.0,2.0,0.09090909090909091,2.0,0.012738853503184714,1.0
76.0,6.0,0.07894736842105263,7.0,0.01580135440180587,1.0
26.0,3.0,0.11538461538461539,3.0,0.020134228187919462,1.0
14.0,1.0,0.07142857142857142,1.0,0.012987012987012988,0.0
15.0,1.0,0.06666666666666667,1.0,0.011627906976744186,1.0
22.0,2.0,0.09090909090909091,2.0,0.016,1.0
9.0,2.0,0.2222222222222222,2.0,0.03773584905660377,0.0
10.0,0.0,0.0,1.0,0.023255813953488372,1.0
40.0,4.0,0.1,4.0,0.016129032258064516,1.0
35.0,1.0,0.02857142857142857,1.0,0.00510204081632653,1.0
28.0,1.0,0.03571428571428571,1.0,0.006535947712418301,0.0
10.0,1.0,0.1,3.0,0.058823529411764705,1.0
38.0,2.0,0.05263157894736842,5.0,0.025252525252525252,1.0
48.0,6.0,0.125,8.0,0.028268551236749116,1.0
8.0,1.0,0.125,1.0,0.023255813953488372,1.0
5.0,1.0,0.2,1.0,0.041666666666666664,0.0
10.0,1.0,0.1,1.0,0.018867924528301886,1.0
11.0,0.0,0.0,1.0,0.017241379310344827,0.0
7.0,1.0,0.14285714285714285,1.0,0.02702702702702703,0.0
20.0,0.0,0.0,1.0,0.008695652173913044,1.0
3.0,1.0,0.3333333333333333,1.0,0.041666666666666664,0.0
3.0,1.0,0.3333333333333333,1.0,0.05263157894736842,0.0
8.0,1.0,0.125,1.0,0.022727272727272728,1.0
5.0,1.0,0.2,1.0,0.023255813953488372,0.0
30.0,1.0,0.03333333333333333,1.0,0.006896551724137931,1.0
52.0,6.0,0.11538461538461539,6.0,0.0189873417721519,1.0
10.0,1.0,0.1,1.0,0.015151515151515152,1.0
3.0,1.0,0.3333333333333333,1.0,0.058823529411764705,0.0
14.0,1.0,0.07142857142857142,1.0,0.012987012987012988,1.0
19.0,1.0,0.05263157894736842,1.0,0.009900990099009901,1.0
5.0,2.0,0.4,2.0,0.08,1.0
4.0,1.0,0.25,1.0,0.03225806451612903,0.0
8.0,0.0,0.0,2.0,0.04,0.0
26.0,1.0,0.038461538461538464,3.0,0.02,1.0
48.0,3.0,0.0625,3.0,0.011538461538461539,1.0
23.0,1.0,0.043478260869565216,1.0,0.0070921985815602835,1.0
5.0,1.0,0.2,1.0,0.030303030303030304,0.0
8.0,1.0,0.125,1.0,0.016666666666666666,1.0
6.0,1.0,0.16666666666666666,1.0,0.029411764705882353,0.0
15.0,1.0,0.06666666666666667,1.0,0.010101010101010102,1.0
2.0,1.0,0.5,1.0,0.07142857142857142,0.0
36.0,0.0,0.0,0.0,0.0,1.0
7.0,1.0,0.14285714285714285,1.0,0.019230769230769232,0.0
62.0,4.0,0.06451612903225806,7.0,0.020958083832335328,1.0
24.0,1.0,0.041666666666666664,2.0,0.017094017094017096,1.0
11.0,1.0,0.09090909090909091,1.0,0.01694915254237288,0.0
34.0,0.0,0.0,1.0,0.005291005291005291,1.0
12.0,0.0,0.0,1.0,0.01818181818181818,1.0
20.0,1.0,0.05,1.0,0.007936507936507936,1.0
18.0,0.0,0.0,1.0,0.010416666666666666,0.0
12.0,0.0,0.0,1.0,0.016666666666666666,1.0
20.0,1.0,0.05,1.0,0.01020408163265306,1.0
21.0,2.0,0.09523809523809523,2.0,0.015748031496062992,1.0
9.0,0.0,0.0,0.0,0.0,1.0
9.0,0.0,0.0,1.0,0.017543859649122806,0.0
13.0,0.0,0.0,1.0,0.013333333333333334,1.0
17.0,1.0,0.058823529411764705,1.0,0.01,1.0
7.0,1.0,0.14285714285714285,1.0,0.022222222222222223,1.0
8.0,1.0,0.125,1.0,0.017241379310344827,0.0
8.0,1.0,0.125,1.0,0.022222222222222223,1.0
6.0,1.0,0.16666666666666666,1.0,0.023809523809523808,1.0
7.0,1.0,0.14285714285714285,1.0,0.023809523809523808,0.0
17.0,1.0,0.058823529411764705,2.0,0.019417475728155338,1.0
21.0,1.0,0.047619047619047616,1.0,0.007874015748031496,1.0
6.0,0.0,0.0,1.0,0.027777777777777776,1.0
25.0,1.0,0.04,1.0,0.006622516556291391,1.0
48.0,1.0,0.020833333333333332,2.0,0.008,1.0
3.0,1.0,0.3333333333333333,1.0,0.058823529411764705,1.0
38.0,2.0,0.05263157894736842,2.0,0.00980392156862745,1.0
19.0,0.0,0.0,1.0,0.010309278350515464,1.0
10.0,1.0,0.1,1.0,0.016666666666666666,0.0
8.0,0.0,0.0,1.0,0.02,1.0
5.0,1.0,0.2,1.0,0.02702702702702703,1.0
27.0,1.0,0.037037037037037035,1.0,0.006756756756756757,1.0
47.0,2.0,0.0425531914893617,3.0,0.011904761904761904,1.0
17.0,1.0,0.058823529411764705,1.0,0.008333333333333333,1.0
13.0,1.0,0.07692307692307693,1.0,0.012195121951219513,0.0
9.0,1.0,0.1111111111111111,1.0,0.014925373134328358,1.0
22.0,1.0,0.045454545454545456,1.0,0.006666666666666667,1.0
6.0,1.0,0.16666666666666666,1.0,0.027777777777777776,0.0
39.0,2.0,0.05128205128205128,2.0,0.009345794392523364,1.0
36.0,1.0,0.027777777777777776,2.0,0.01015228426395939,0.0
14.0,1.0,0.07142857142857142,1.0,0.014084507042253521,0.0
2.0,0.0,0.0,0.0,0.0,0.0
14.0,1.0,0.07142857142857142,1.0,0.013888888888888888,1.0
11.0,1.0,0.09090909090909091,1.0,0.020833333333333332,0.0
42.0,3.0,0.07142857142857142,5.0,0.02109704641350211,1.0
18.0,0.0,0.0,1.0,0.011111111111111112,1.0
15.0,3.0,0.2,3.0,0.038461538461538464,1.0
54.0,1.0,0.018518518518518517,1.0,0.003484320557491289,1.0
28.0,0.0,0.0,1.0,0.006172839506172839,1.0
21.0,3.0,0.14285714285714285,3.0,0.023255813953488372,1.0
17.0,2.0,0.11764705882352941,2.0,0.01680672268907563,0.0
8.0,1.0,0.125,1.0,0.019230769230769232,1.0
3.0,0.0,0.0,0.0,0.0,1.0
20.0,2.0,0.1,4.0,0.031007751937984496,0.0
5.0,1.0,0.2,1.0,0.03225806451612903,1.0
5.0,1.0,0.2,1.0,0.03571428571428571,0.0
9.0,3.0,0.3333333333333333,3.0,0.05084745762711865,1.0
10.0,2.0,0.2,2.0,0.04,0.0
4.0,1.0,0.25,1.0,0.047619047619047616,0.0
15.0,1.0,0.06666666666666667,1.0,0.011494252873563218,1.0
17.0,2.0,0.11764705882352941,2.0,0.021052631578947368,0.0
14.0,1.0,0.07142857142857142,1.0,0.010638297872340425,1.0
6.0,1.0,0.16666666666666666,1.0,0.023809523809523808,1.0
30.0,1.0,0.03333333333333333,1.0,0.005952380952380952,1.0
5.0,1.0,0.2,1.0,0.02631578947368421,0.0
25.0,2.0,0.08,2.0,0.013793103448275862,1.0
10.0,1.0,0.1,1.0,0.01818181818181818,0.0
9.0,2.0,0.2222222222222222,2.0,0.030303030303030304,0.0
13.0,1.0,0.07692307692307693,1.0,0.0136986301369863,1.0
15.0,1.0,0.06666666666666667,1.0,0.009900990099009901,1.0
13.0,1.0,0.07692307692307693,1.0,0.012345679012345678,0.0
23.0,0.0,0.0,1.0,0.006993006993006993,1.0
17.0,1.0,0.058823529411764705,1.0,0.008264462809917356,1.0
14.0,1.0,0.07142857142857142,1.0,0.011904761904761904,0.0
13.0,1.0,0.07692307692307693,1.0,0.0125,0.0
15.0,1.0,0.06666666666666667,1.0,0.010638297872340425,1.0
16.0,1.0,0.0625,1.0,0.011363636363636364,0.0
13.0,0.0,0.0,1.0,0.012345679012345678,0.0
8.0,1.0,0.125,1.0,0.019230769230769232,0.0
4.0,0.0,0.0,1.0,0.058823529411764705,1.0
6.0,1.0,0.16666666666666666,1.0,0.029411764705882353,0.0
10.0,0.0,0.0,1.0,0.022222222222222223,0.0
24.0,0.0,0.0,1.0,0.0072992700729927005,0.0
26.0,0.0,0.0,1.0,0.007042253521126761,1.0
12.0,1.0,0.08333333333333333,1.0,0.015625,0.0
20.0,1.0,0.05,1.0,0.009900990099009901,0.0
17.0,1.0,0.058823529411764705,1.0,0.009615384615384616,0.0
14.0,1.0,0.07142857142857142,1.0,0.008547008547008548,0.0
18.0,1.0,0.05555555555555555,1.0,0.01020408163265306,1.0
26.0,1.0,0.038461538461538464,1.0,0.006622516556291391,1.0
10.0,1.0,0.1,1.0,0.01694915254237288,1.0
15.0,0.0,0.0,0.0,0.0,1.0
8.0,1.0,0.125,1.0,0.020833333333333332,0.0
32.0,2.0,0.0625,2.0,0.011695906432748537,1.0
4.0,0.0,0.0,1.0,0.04,0.0
15.0,0.0,0.0,1.0,0.012987012987012988,1.0
20.0,0.0,0.0,1.0,0.009900990099009901,0.0
9.0,0.0,0.0,1.0,0.015873015873015872,0.0
10.0,0.0,0.0,1.0,0.0196078431372549,1.0
11.0,0.0,0.0,1.0,0.019230769230769232,1.0
29.0,3.0,0.10344827586206896,4.0,0.027777777777777776,1.0
24.0,1.0,0.041666666666666664,1.0,0.006711409395973154,1.0
19.0,2.0,0.10526315789473684,2.0,0.020618556701030927,1.0
32.0,2.0,0.0625,3.0,0.016483516483516484,1.0
11.0,1.0,0.09090909090909091,1.0,0.0136986301369863,1.0
11.0,1.0,0.09090909090909091,1.0,0.015873015873015872,0.0
8.0,1.0,0.125,1.0,0.02040816326530612,1.0
25.0,1.0,0.04,1.0,0.007518796992481203,1.0
18.0,3.0,0.16666666666666666,4.0,0.037383177570093455,1.0
17.0,4.0,0.23529411764705882,4.0,0.047058823529411764,1.0
17.0,1.0,0.058823529411764705,2.0,0.021505376344086023,1.0
13.0,3.0,0.23076923076923078,4.0,0.047058823529411764,1.0
11.0,1.0,0.09090909090909091,1.0,0.016129032258064516,0.0
6.0,3.0,0.5,3.0,0.08108108108108109,0.0
23.0,0.0,0.0,1.0,0.008403361344537815,1.0
9.0,1.0,0.1111111111111111,1.0,0.017857142857142856,0.0
24.0,2.0,0.08333333333333333,2.0,0.013986013986013986,1.0
18.0,1.0,0.05555555555555555,1.0,0.008,0.0
7.0,1.0,0.14285714285714285,1.0,0.03225806451612903,1.0
21.0,2.0,0.09523809523809523,3.0,0.023809523809523808,1.0
16.0,3.0,0.1875,3.0,0.030612244897959183,0.0
17.0,4.0,0.23529411764705882,4.0,0.046511627906976744,1.0
24.0,3.0,0.125,3.0,0.023076923076923078,0.0
9.0,1.0,0.1111111111111111,1.0,0.020833333333333332,0.0
26.0,2.0,0.07692307692307693,2.0,0.012987012987012988,0.0
22.0,3.0,0.13636363636363635,3.0,0.023076923076923078,1.0
12.0,1.0,0.08333333333333333,1.0,0.013157894736842105,1.0
4.0,1.0,0.25,1.0,0.043478260869565216,1.0
18.0,1.0,0.05555555555555555,1.0,0.009433962264150943,1.0
6.0,2.0,0.3333333333333333,2.0,0.06451612903225806,1.0
11.0,1.0,0.09090909090909091,1.0,0.013513513513513514,1.0
13.0,2.0,0.15384615384615385,2.0,0.023529411764705882,0.0
15.0,2.0,0.13333333333333333,2.0,0.023529411764705882,1.0
10.0,1.0,0.1,1.0,0.020833333333333332,0.0
54.0,0.0,0.0,0.0,0.0,1.0
12.0,1.0,0.08333333333333333,1.0,0.013157894736842105,1.0
4.0,1.0,0.25,1.0,0.043478260869565216,1.0
9.0,1.0,0.1111111111111111,1.0,0.018867924528301886,1.0
5.0,1.0,0.2,1.0,0.02631578947368421,1.0
10.0,1.0,0.1,1.0,0.02040816326530612,0.0
24.0,4.0,0.16666666666666666,5.0,0.03125,1.0
15.0,1.0,0.06666666666666667,1.0,0.012048192771084338,0.0
4.0,0.0,0.0,1.0,0.045454545454545456,0.0
18.0,2.0,0.1111111111111111,2.0,0.021739130434782608,1.0
0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,0.125,1.0,0.01818181818181818,1.0
3.0,1.0,0.3333333333333333,1.0,0.041666666666666664,0.0
14.0,0.0,0.0,1.0,0.015151515151515152,1.0
8.0,1.0,0.125,1.0,0.023255813953488372,0.0
13.0,1.0,0.07692307692307693,1.0,0.015384615384615385,0.0
56.0,1.0,0.017857142857142856,1.0,0.002898550724637681,1.0
29.0,1.0,0.034482758620689655,1.0,0.006289308176100629,0.0
1.0,1.0,1.0,1.0,0.1,0.0
9.0,1.0,0.1111111111111111,1.0,0.020833333333333332,1.0
5.0,1.0,0.2,1.0,0.02702702702702703,1.0
8.0,1.0,0.125,1.0,0.020833333333333332,0.0
9.0,1.0,0.1111111111111111,1.0,0.018867924528301886,0.0
15.0,0.0,0.0,1.0,0.012195121951219513,0.0
5.0,1.0,0.2,1.0,0.03333333333333333,0.0
5.0,1.0,0.2,1.0,0.027777777777777776,0.0
4.0,1.0,0.25,1.0,0.047619047619047616,1.0
14.0,2.0,0.14285714285714285,2.0,0.025,1.0
4.0,1.0,0.25,1.0,0.05263157894736842,0.0
19.0,1.0,0.05263157894736842,1.0,0.009615384615384616,0.0
6.0,1.0,0.16666666666666666,1.0,0.027777777777777776,1.0
30.0,0.0,0.0,1.0,0.005988023952095809,0.0
34.0,2.0,0.058823529411764705,5.0,0.026737967914438502,1.0
54.0,0.0,0.0,2.0,0.006535947712418301,1.0
2.0,1.0,0.5,1.0,0.07142857142857142,0.0
39.0,4.0,0.10256410256410256,4.0,0.016877637130801686,1.0
17.0,0.0,0.0,1.0,0.010869565217391304,1.0
8.0,0.0,0.0,1.0,0.022727272727272728,1.0
10.0,1.0,0.1,1.0,0.01639344262295082,0.0
6.0,1.0,0.16666666666666666,1.0,0.02564102564102564,0.0
19.0,3.0,0.15789473684210525,4.0,0.03773584905660377,1.0
82.0,17.0,0.2073170731707317,17.0,0.032504780114722756,1.0
9.0,0.0,0.0,1.0,0.020833333333333332,1.0
43.0,11.0,0.2558139534883721,11.0,0.044715447154471545,1.0
13.0,3.0,0.23076923076923078,3.0,0.03896103896103896,0.0
22.0,5.0,0.22727272727272727,12.0,0.1,1.0
19.0,2.0,0.10526315789473684,3.0,0.03125,1.0
9.0,8.0,0.8888888888888888,41.0,0.7454545454545455,1.0
27.0,8.0,0.2962962962962963,8.0,0.041025641025641026,1.0
29.0,14.0,0.4827586206896552,14.0,0.06829268292682927,1.0
63.0,31.0,0.49206349206349204,38.0,0.08656036446469248,1.0
24.0,1.0,0.041666666666666664,1.0,0.005649717514124294,1.0
19.0,0.0,0.0,1.0,0.008403361344537815,1.0
9.0,2.0,0.2222222222222222,2.0,0.03508771929824561,1.0
53.0,3.0,0.05660377358490566,3.0,0.010169491525423728,1.0
5.0,1.0,0.2,1.0,0.02857142857142857,1.0
26.0,0.0,0.0,1.0,0.006578947368421052,1.0
31.0,3.0,0.0967741935483871,4.0,0.022099447513812154,1.0
4.0,0.0,0.0,1.0,0.05,1.0
6.0,0.0,0.0,1.0,0.025,0.0
70.0,3.0,0.04285714285714286,4.0,0.01084010840108401,1.0
5.0,1.0,0.2,1.0,0.037037037037037035,0.0
8.0,1.0,0.125,1.0,0.01818181818181818,1.0
12.0,4.0,0.3333333333333333,4.0,0.05194805194805195,1.0
11.0,2.0,0.18181818181818182,2.0,0.02531645569620253,0.0
16.0,1.0,0.0625,1.0,0.009900990099009901,1.0
27.0,2.0,0.07407407407407407,2.0,0.011235955056179775,0.0
20.0,1.0,0.05,1.0,0.006993006993006993,0.0
7.0,1.0,0.14285714285714285,1.0,0.020833333333333332,0.0
5.0,1.0,0.2,1.0,0.03225806451612903,0.0
12.0,6.0,0.5,6.0,0.07792207792207792,1.0
7.0,1.0,0.14285714285714285,1.0,0.02564102564102564,1.0
9.0,1.0,0.1111111111111111,1.0,0.016666666666666666,0.0
10.0,1.0,0.1,1.0,0.01818181818181818,0.0
15.0,1.0,0.06666666666666667,1.0,0.013888888888888888,1.0
15.0,1.0,0.06666666666666667,1.0,0.009708737864077669,1.0
6.0,1.0,0.16666666666666666,1.0,0.023255813953488372,0.0
1.0,1.0,1.0,6.0,0.8571428571428571,0.0
19.0,2.0,0.10526315789473684,2.0,0.01818181818181818,1.0
7.0,1.0,0.14285714285714285,1.0,0.018518518518518517,0.0
33.0,3.0,0.09090909090909091,3.0,0.015544041450777202,1.0
25.0,4.0,0.16,4.0,0.023391812865497075,1.0
19.0,0.0,0.0,1.0,0.009433962264150943,1.0
12.0,1.0,0.08333333333333333,1.0,0.012048192771084338,1.0
7.0,1.0,0.14285714285714285,1.0,0.02631578947368421,1.0
13.0,1.0,0.07692307692307693,1.0,0.010869565217391304,1.0
7.0,1.0,0.14285714285714285,1.0,0.022222222222222223,1.0
12.0,1.0,0.08333333333333333,1.0,0.012048192771084338,1.0
10.0,3.0,0.3,3.0,0.05,1.0
13.0,2.0,0.15384615384615385,3.0,0.036585365853658534,1.0
8.0,1.0,0.125,1.0,0.020833333333333332,0.0
7.0,1.0,0.14285714285714285,1.0,0.03225806451612903,1.0
19.0,3.0,0.15789473684210525,3.0,0.025423728813559324,1.0
9.0,0.0,0.0,1.0,0.01818181818181818,1.0
5.0,1.0,0.2,1.0,0.03125,1.0
11.0,1.0,0.09090909090909091,1.0,0.015151515151515152,1.0
10.0,1.0,0.1,1.0,0.015384615384615385,0.0
17.0,8.0,0.47058823529411764,8.0,0.0784313725490196,1.0
9.0,1.0,0.1111111111111111,1.0,0.01639344262295082,1.0
8.0,1.0,0.125,1.0,0.021739130434782608,1.0
2.0,1.0,0.5,1.0,0.041666666666666664,1.0
18.0,6.0,0.3333333333333333,10.0,0.09803921568627451,1.0
14.0,4.0,0.2857142857142857,4.0,0.05,0.0
12.0,4.0,0.3333333333333333,4.0,0.05970149253731343,0.0
15.0,0.0,0.0,1.0,0.013333333333333334,1.0
10.0,0.0,0.0,1.0,0.022222222222222223,1.0
10.0,0.0,0.0,1.0,0.017241379310344827,1.0
14.0,1.0,0.07142857142857142,1.0,0.013333333333333334,0.0
6.0,1.0,0.16666666666666666,1.0,0.03333333333333333,1.0
13.0,2.0,0.15384615384615385,4.0,0.06451612903225806,0.0
4.0,1.0,0.25,1.0,0.041666666666666664,0.0
6.0,1.0,0.16666666666666666,1.0,0.03125,1.0
7.0,1.0,0.14285714285714285,1.0,0.025,0.0
6.0,1.0,0.16666666666666666,1.0,0.023255813953488372,1.0
6.0,0.0,0.0,1.0,0.045454545454545456,1.0
38.0,5.0,0.13157894736842105,5.0,0.02109704641350211,1.0
9.0,2.0,0.2222222222222222,4.0,0.08333333333333333,0.0
11.0,1.0,0.09090909090909091,1.0,0.014285714285714285,0.0
9.0,1.0,0.1111111111111111,1.0,0.019230769230769232,0.0
6.0,1.0,0.16666666666666666,1.0,0.023809523809523808,0.0
7.0,0.0,0.0,1.0,0.027777777777777776,0.0
18.0,1.0,0.05555555555555555,1.0,0.010752688172043012,1.0
20.0,0.0,0.0,1.0,0.009900990099009901,1.0
26.0,0.0,0.0,1.0,0.0072992700729927005,1.0
11.0,1.0,0.09090909090909091,1.0,0.015151515151515152,1.0
13.0,1.0,0.07692307692307693,1.0,0.016666666666666666,1.0
2.0,1.0,0.5,1.0,0.06666666666666667,1.0
16.0,2.0,0.125,2.0,0.024390243902439025,1.0
12.0,1.0,0.08333333333333333,1.0,0.01639344262295082,1.0
17.0,1.0,0.058823529411764705,1.0,0.009523809523809525,1.0
12.0,1.0,0.08333333333333333,1.0,0.014925373134328358,0.0
20.0,1.0,0.05,1.0,0.009009009009009009,1.0
10.0,3.0,0.3,3.0,0.05084745762711865,1.0
12.0,1.0,0.08333333333333333,1.0,0.013157894736842105,0.0
17.0,0.0,0.0,1.0,0.010638297872340425,1.0
37.0,0.0,0.0,1.0,0.005555555555555556,1.0
9.0,1.0,0.1111111111111111,2.0,0.043478260869565216,0.0
7.0,1.0,0.14285714285714285,1.0,0.024390243902439025,0.0
60.0,1.0,0.016666666666666666,1.0,0.002824858757062147,1.0
51.0,1.0,0.0196078431372549,1.0,0.0034602076124567475,1.0
11.0,1.0,0.09090909090909091,1.0,0.015384615384615385,1.0
10.0,1.0,0.1,1.0,0.024390243902439025,1.0
8.0,0.0,0.0,1.0,0.02857142857142857,1.0
19.0,0.0,0.0,1.0,0.009523809523809525,1.0
13.0,1.0,0.07692307692307693,1.0,0.015384615384615385,1.0
16.0,1.0,0.0625,1.0,0.00909090909090909,1.0
5.0,1.0,0.2,1.0,0.038461538461538464,0.0
30.0,0.0,0.0,1.0,0.006756756756756757,0.0
19.0,0.0,0.0,1.0,0.010101010101010102,0.0
4.0,2.0,0.5,3.0,0.1,1.0
38.0,4.0,0.10526315789473684,5.0,0.022222222222222223,1.0
17.0,2.0,0.11764705882352941,2.0,0.021052631578947368,1.0
17.0,1.0,0.058823529411764705,1.0,0.010416666666666666,1.0
15.0,0.0,0.0,1.0,0.01098901098901099,0.0
21.0,1.0,0.047619047619047616,1.0,0.00909090909090909,1.0
22.0,1.0,0.045454545454545456,1.0,0.0072992700729927005,1.0
10.0,1.0,0.1,1.0,0.015873015873015872,1.0
51.0,3.0,0.058823529411764705,3.0,0.011764705882352941,1.0
26.0,3.0,0.11538461538461539,3.0,0.02040816326530612,0.0
33.0,0.0,0.0,1.0,0.006756756756756757,1.0
2.0,1.0,0.5,1.0,0.07142857142857142,0.0
19.0,1.0,0.05263157894736842,1.0,0.007936507936507936,1.0
13.0,0.0,0.0,1.0,0.014492753623188406,1.0
17.0,0.0,0.0,1.0,0.012658227848101266,1.0
25.0,1.0,0.04,1.0,0.007692307692307693,1.0
6.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,1.0,0.02,1.0
5.0,1.0,0.2,1.0,0.027777777777777776,0.0
2.0,1.0,0.5,1.0,0.0625,1.0
9.0,1.0,0.1111111111111111,1.0,0.018867924528301886,0.0
10.0,1.0,0.1,2.0,0.0392156862745098,1.0
