sentence,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,subjectivity
A grande vantagem desse hotel é ser perto do aeroporto.,2.0,2.0,0.0,0.0,0.1818181818181818,0.1818181818181818,0.0,0.0,1.0
Há uma estação de metrô relativamente perto também.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"As fotos divulgadas não condizem tanto com a realidade do local, mas ainda assim valeu a estadia.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bom para ficar um período curto.,1.0,1.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0
horel em reforma.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quarto razoável ma so preco nao condis com o serviço prestado.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nao fui avisado sobre taxa de garagem.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 reais para guardar o carro.,2.0,2.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
cafe da manha razoavel.ar condicionado miito barulhento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ótimo acesso, elevador, garagem, café da manhã regular, mas o salão de refeições é bem grande... quartos com um bom tamanho, recepcionistas muito ágeis.",4.0,4.0,0.0,0.0,0.1290322580645161,0.1290322580645161,0.0,0.0,1.0
"Fica ao lado do tremsurb, o que dá fácil acesso à rodoviária e ao aeroporto.",1.0,1.0,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0,0.0,1.0
"Hotel com boa localização, próximo ao aeroporto.Cômodos simples mas em ordem e limpos.",3.0,3.0,0.0,0.0,0.1764705882352941,0.1764705882352941,0.0,0.0,1.0
"Ar-condicionado muito barulhento e atendimento da recepção muito atrapalhado.Servem um bom jantar, simples mas com qualidade e variedade compatível ao preço.",5.0,5.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0
"Próximo do aeroporto mas com instalações precárias.Não tem elevador, você terá que subir com suas malas pela escada e sem ajuda de nenhum funcionário.Não gostei do quarto, bastante barulhento.Não gostei do banheiro, com porta sanfonada de pvc...tudo apertado e feio.O café da manhã é razoável, pelo preço...Apesar de barato, não pretendo me hospedar mais...Na minha opinião, vale pagar uns reais mais caro e ficar num local com mais qualidade.",8.0,7.0,1.0,0.0,0.0888888888888888,0.0777777777777777,0.0111111111111111,0.0,1.0
"Apesar de simples o hotel é limpo, perto do aeroporto, perto das indústrias, bom café da manhã, boa janta, ar condicionado e Wi-Fi incluso na diária.",3.0,3.0,0.0,0.0,0.09375,0.09375,0.0,0.0,1.0
"Ideal para quem procura um lugar simples, com bons acessos e perto de canoas.",3.0,3.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0
Recomendado para quem vai pegar o aeroporto muito cedo ou para quem chega muito tarde.,2.0,2.0,0.0,0.0,0.125,0.125,0.0,0.0,1.0
"Fica a 500 metros do terminal e possui transporte próprio para levar e trazer do aeroporto.Quartos amplos, com ar e frigobar.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Aspecto ruim é que o Expressinho não possui elevador.,1.0,0.0,1.0,0.0,0.1,0.0,0.1,0.0,0.0
O hotel cujo o nome já faz a sua avaliação.,1.0,1.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0,0.0,1.0
"Expressinho está localizado perto da estação de metrô Farrapos.Com bares que fervem para darem a guinada pra noitada.Shopping com tudo que desejar,além de ter traslado gratuito para o aeroporto,precisando agendar apenas,15 minutos antes da partida.",2.0,1.0,1.0,0.0,0.0454545454545454,0.0227272727272727,0.0227272727272727,0.0,1.0
"Eu realmente não aconselho esse lugar, tudo é pessimo, o atendimento inicial, não tem elevador e se você ficar no quarto andar tem que subir tudo sozinho não tem ninguem para lhe ajudar, a comida?",2.0,2.0,0.0,1.0,0.05,0.05,0.0,0.025,1.0
"pelo amor de Deus, era um lixo, não consigui comer de tão ruim que era, para devolver foi um problema, o guarto não apresenta segurança, tem aspecto sujo",5.0,2.0,3.0,0.0,0.1515151515151515,0.0606060606060606,0.0909090909090909,0.0,0.0
O quarto era pequeno e não tinha TV por assinatura.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"A roupa de cama também não era nova.O café da manhã era bom, com frutas, iogurte, granola e outras coisas mais.A vantagem em ficar no hotel foi que não pagamos pelo transfer entre Hotel e Aeroporto.",2.0,2.0,0.0,0.0,0.0454545454545454,0.0454545454545454,0.0,0.0,1.0
"O Express estava lotado e resolvi ficar no Expressinho.Péssima idéia, tirando o atendimento cordial da recepção e o café da manhã que é comum aos dois hoteis, de resto é muito ruim.Barulho infernal a noite inteira, quarto pequeno, mobília velha, TV com péssima imagem.Enfim,,, evite.",4.0,1.0,3.0,0.0,0.0666666666666666,0.0166666666666666,0.05,0.0,1.0
Voo cancelado e tive que ficar neste hotel.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Não gostei nem um pouco.,1.0,1.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0
Cheguei no quarto e ele estava com cheiro de cigarro.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"O ar condicionado muito velho, não deve ser limpo há anos.",1.0,1.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0
As roupas de cama não estavam limpas.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"O hotel tem um transfer que leva para o aeroporto, mas não conseguimos pegar pois muitas pessoas esperavam por ele.",2.0,2.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0,0.0,1.0
Realmente não recomendo!,1.0,1.0,0.0,1.0,0.25,0.25,0.0,0.25,0.0
