pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,rule1,rule2,rule3,rule4,rule5,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,count_dictionary_words,count_named_entities,count_number_date_time,count_url,count_elongated,count_mentions,emoji_polarity_score,emoticon_polarity_score,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,0.0,0.1,0.1,0.0746,0.746,0.007299999999999999,0.073,0.0931,0.931,0.0583,0.583,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.01818181818181818,0.0
4.0,6.0,3.0,1.0,0.0,7.0,0.0,7.0,1.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,0.125,0.1,0.025,0.0,0.10012499999999999,4.005,-0.04875,-1.95,0.07075000000000001,2.83,0.08165,3.266,-0.010949999999999998,-0.4379999999999999,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,0.01,0.0
3.0,10.0,1.0,2.0,1.0,11.0,0.0,10.0,1.0,1.0,2.0,16.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06010294117647058,4.087,-0.052323529411764706,-3.558,0.07025,4.777,0.06583823529411766,4.477,0.012911764705882353,0.878,50.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,5.0,0.08620689655172414,12.0,0.041811846689895474,0.0
1.0,5.0,4.0,2.0,2.0,5.0,0.0,8.0,0.0,1.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.052538461538461534,2.049,-0.12428205128205128,-4.8469999999999995,0.060897435897435896,2.375,0.0785897435897436,3.0650000000000004,-0.0020512820512820513,-0.08,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,0.08571428571428572,4.0,0.02127659574468085,0.0
1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10958333333333332,1.315,-0.17758333333333332,-2.131,0.14925,1.791,0.14291666666666666,1.715,-0.007916666666666667,-0.095,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.2727272727272727,3.0,0.05084745762711865,0.0
0.0,2.0,2.0,0.0,1.0,4.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022291666666666668,-0.535,0.007125,0.171,0.001958333333333333,0.047,-0.01725,-0.41400000000000003,-0.03854166666666666,-0.9249999999999999,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.14285714285714285,3.0,0.02142857142857143,0.0
2.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.21428571428571427,0.0,0.21428571428571427,0.0,-0.06278571428571429,-0.879,0.0,0.0,0.0,0.0,-0.02092857142857143,-0.293,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.07692307692307693,1.0,0.0125,0.0
1.0,2.0,4.0,1.0,4.0,2.0,0.0,4.0,1.0,3.0,0.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,3.0,0.0,0.1388888888888889,0.08333333333333333,0.08333333333333333,0.0,-0.013055555555555555,-0.47,-0.07383333333333333,-2.658,-0.027916666666666676,-1.0050000000000003,0.0048333333333333344,0.17400000000000004,-0.024166666666666666,-0.87,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.030303030303030304,1.0,0.005747126436781609,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,1.0,0.030303030303030304,0.0
0.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.06276923076923077,0.8160000000000001,-0.06423076923076924,-0.8350000000000002,0.06892307692307692,0.896,0.07476923076923078,0.9720000000000001,-0.0038461538461538464,-0.05,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.08333333333333333,1.0,0.018867924528301886,0.0
0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04263157894736842,0.81,-0.14894736842105263,-2.83,0.06052631578947368,1.15,0.08536842105263158,1.622,-0.005578947368421052,-0.106,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.16666666666666666,3.0,0.03488372093023256,0.0
1.0,6.0,1.0,1.0,1.0,5.0,0.0,7.0,3.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.11052941176470588,3.758,-0.04976470588235294,-1.692,0.12002941176470587,4.0809999999999995,0.11529411764705882,3.92,-0.006676470588235294,-0.227,26.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.03225806451612903,2.0,0.012903225806451613,0.0
1.0,4.0,6.0,1.0,0.0,6.0,0.0,6.0,1.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.08823529411764706,0.08823529411764706,0.0,0.0,0.06955882352941176,2.3649999999999998,-0.03782352941176471,-1.286,0.07570588235294118,2.5740000000000003,0.06579411764705884,2.2370000000000005,-0.0014705882352941176,-0.05,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.03333333333333333,1.0,0.005847953216374269,0.0
2.0,2.0,1.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,1.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.14814814814814814,0.037037037037037035,0.1111111111111111,0.0,-0.04492592592592592,-1.2129999999999999,-0.026518518518518518,-0.716,-0.0685925925925926,-1.852,-0.04007407407407407,-1.0819999999999999,0.01748148148148148,0.472,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.08333333333333333,2.0,0.0136986301369863,0.0
3.0,4.0,1.0,1.0,2.0,6.0,0.0,8.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,6.0,2.0,0.0,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.0,0.019147058823529413,0.651,-0.08338235294117646,-2.835,0.0062352941176470516,0.21199999999999974,0.04452941176470588,1.514,0.10138235294117648,3.447,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,0.06451612903225806,2.0,0.011299435028248588,0.0
