pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,rule1,rule2,rule3,rule4,rule5,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,count_dictionary_words,count_named_entities,count_number_date_time,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,0.0,0.1,0.1,0.0746,0.746,0.007299999999999999,0.073,0.0931,0.931,0.0583,0.583,0.0,0.0,0.0746,0.746,0.007299999999999999,0.073,0.10729999999999999,1.073,0.0631,0.631,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,1.0,0.01818181818181818,0.0
4.0,6.0,3.0,1.0,0.0,7.0,0.0,7.0,1.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,0.125,0.1,0.025,0.0,0.10012499999999999,4.005,-0.04875,-1.95,0.07075000000000001,2.83,0.08165,3.266,-0.010949999999999998,-0.4379999999999999,0.14377500000000001,5.751,0.1237,4.948,0.13555,5.422,0.14635,5.854,0.0497,1.988,34.0,1.0,1.0,36.0,0.0,0.0,2.0,0.01,0.0
3.0,10.0,1.0,2.0,1.0,11.0,0.0,10.0,1.0,1.0,2.0,16.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06010294117647058,4.087,-0.052323529411764706,-3.558,0.07025,4.777,0.06583823529411766,4.477,0.012911764705882353,0.878,0.07848529411764706,5.337,0.08344117647058824,5.674,0.09083823529411764,6.177,0.08816176470588234,5.994999999999999,0.01635294117647059,1.112,50.0,3.0,1.0,58.0,5.0,0.08620689655172414,12.0,0.041811846689895474,0.0
1.0,5.0,4.0,2.0,2.0,5.0,0.0,8.0,0.0,1.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.052538461538461534,2.049,-0.12428205128205128,-4.8469999999999995,0.060897435897435896,2.375,0.0785897435897436,3.0650000000000004,-0.0020512820512820513,-0.08,0.09289743589743589,3.6229999999999998,0.12428205128205128,4.8469999999999995,0.11397435897435895,4.444999999999999,0.11110256410256411,4.333,0.0020512820512820513,0.08,33.0,2.0,0.0,35.0,3.0,0.08571428571428572,4.0,0.02127659574468085,0.0
1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10958333333333332,1.315,-0.17758333333333332,-2.131,0.14925,1.791,0.14291666666666666,1.715,-0.007916666666666667,-0.095,0.10958333333333332,1.315,0.17758333333333332,2.131,0.14925,1.791,0.14291666666666666,1.715,0.007916666666666667,0.095,11.0,1.0,0.0,11.0,3.0,0.2727272727272727,3.0,0.05084745762711865,0.0
0.0,2.0,2.0,0.0,1.0,4.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022291666666666668,-0.535,0.007125,0.171,0.001958333333333333,0.047,-0.01725,-0.41400000000000003,-0.03854166666666666,-0.9249999999999999,0.03995833333333333,0.959,0.007125,0.171,0.001958333333333333,0.047,0.02625,0.63,0.03854166666666666,0.9249999999999999,20.0,1.0,1.0,21.0,3.0,0.14285714285714285,3.0,0.02142857142857143,0.0
2.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.21428571428571427,0.0,0.21428571428571427,0.0,-0.06278571428571429,-0.879,0.0,0.0,0.0,0.0,-0.02092857142857143,-0.293,0.0,0.0,0.06278571428571429,0.879,0.0,0.0,0.0,0.0,0.02092857142857143,0.293,0.0,0.0,13.0,0.0,0.0,13.0,1.0,0.07692307692307693,1.0,0.0125,0.0
1.0,2.0,4.0,1.0,4.0,2.0,0.0,4.0,1.0,3.0,0.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,3.0,0.0,0.1388888888888889,0.08333333333333333,0.08333333333333333,0.0,-0.013055555555555555,-0.47,-0.07383333333333333,-2.658,-0.027916666666666676,-1.0050000000000003,0.0048333333333333344,0.17400000000000004,-0.024166666666666666,-0.87,0.11644444444444442,4.191999999999999,0.07955555555555555,2.864,0.16575,5.9670000000000005,0.12716666666666668,4.578,0.024166666666666666,0.87,33.0,0.0,1.0,33.0,1.0,0.030303030303030304,1.0,0.005747126436781609,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,0.25,1.0,0.030303030303030304,0.0
0.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.06276923076923077,0.8160000000000001,-0.06423076923076924,-0.8350000000000002,0.06892307692307692,0.896,0.07476923076923078,0.9720000000000001,-0.0038461538461538464,-0.05,0.06276923076923077,0.8160000000000001,0.10099999999999999,1.313,0.06892307692307692,0.896,0.07476923076923078,0.9720000000000001,0.008615384615384615,0.112,11.0,0.0,0.0,12.0,1.0,0.08333333333333333,1.0,0.018867924528301886,0.0
0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04263157894736842,0.81,-0.14894736842105263,-2.83,0.06052631578947368,1.15,0.08536842105263158,1.622,-0.005578947368421052,-0.106,0.12063157894736841,2.292,0.15831578947368422,3.008,0.20473684210526313,3.8899999999999997,0.16,3.04,0.005578947368421052,0.106,16.0,1.0,0.0,18.0,3.0,0.16666666666666666,3.0,0.03488372093023256,0.0
1.0,6.0,1.0,1.0,1.0,5.0,0.0,7.0,3.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.11052941176470588,3.758,-0.04976470588235294,-1.692,0.12002941176470587,4.0809999999999995,0.11529411764705882,3.92,-0.006676470588235294,-0.227,0.11052941176470588,3.758,0.12194117647058823,4.146,0.12002941176470587,4.0809999999999995,0.11529411764705882,3.92,0.006676470588235294,0.227,26.0,1.0,3.0,31.0,1.0,0.03225806451612903,2.0,0.012903225806451613,0.0
1.0,4.0,6.0,1.0,0.0,6.0,0.0,6.0,1.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.08823529411764706,0.08823529411764706,0.0,0.0,0.06955882352941176,2.3649999999999998,-0.03782352941176471,-1.286,0.07570588235294118,2.5740000000000003,0.06579411764705884,2.2370000000000005,-0.0014705882352941176,-0.05,0.11126470588235293,3.783,0.05352941176470588,1.8199999999999998,0.13394117647058823,4.554,0.09908823529411766,3.369,0.0014705882352941176,0.05,30.0,0.0,1.0,30.0,1.0,0.03333333333333333,1.0,0.005847953216374269,0.0
2.0,2.0,1.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,1.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.14814814814814814,0.037037037037037035,0.1111111111111111,0.0,-0.04492592592592592,-1.2129999999999999,-0.026518518518518518,-0.716,-0.0685925925925926,-1.852,-0.04007407407407407,-1.0819999999999999,0.01748148148148148,0.472,0.08322222222222221,2.247,0.04555555555555556,1.23,0.13081481481481483,3.532,0.09762962962962964,2.636,0.052370370370370366,1.414,22.0,1.0,0.0,24.0,2.0,0.08333333333333333,2.0,0.0136986301369863,0.0
3.0,4.0,1.0,1.0,2.0,6.0,0.0,8.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,6.0,2.0,0.0,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.0,0.019147058823529413,0.651,-0.08338235294117646,-2.835,0.0062352941176470516,0.21199999999999974,0.04452941176470588,1.514,0.10138235294117648,3.447,0.23361764705882354,7.9430000000000005,0.21814705882352942,7.417,0.2526470588235294,8.59,0.257,8.738,0.10997058823529411,3.739,31.0,1.0,0.0,31.0,2.0,0.06451612903225806,2.0,0.011299435028248588,0.0
2.0,1.0,5.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.15,0.1,0.1,0.0,0.005200000000000011,0.10400000000000022,-0.09725,-1.945,-0.02614999999999999,-0.5229999999999998,0.0248,0.496,0.00205,0.041,0.15699999999999997,3.1399999999999997,0.09725,1.945,0.19274999999999998,3.8549999999999995,0.1484,2.968,0.00205,0.041,18.0,0.0,0.0,18.0,1.0,0.05555555555555555,1.0,0.00980392156862745,0.0
2.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.125,0.0,0.125,0.0,0.029687500000000006,0.4750000000000001,-0.019000000000000003,-0.30400000000000005,-0.013437499999999998,-0.21499999999999997,0.0225,0.36,-0.0030000000000000005,-0.04800000000000001,0.1183125,1.893,0.0605,0.968,0.11031250000000001,1.7650000000000001,0.09324999999999999,1.4919999999999998,0.009375,0.15,14.0,1.0,0.0,15.0,2.0,0.13333333333333333,2.0,0.02127659574468085,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,-0.10379999999999998,-0.5189999999999999,0.0438,0.219,-0.1908,-0.954,-0.08359999999999998,-0.4179999999999999,0.0,0.0,0.17980000000000002,0.899,0.0438,0.219,0.2052,1.026,0.14279999999999998,0.714,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.25,1.0,0.03571428571428571,0.0
