lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,subjectivity
1.0,0.0,1.0,1.0,0.1,0.0,0.1,0.1,0.0
5.0,4.0,1.0,0.0,0.125,0.1,0.025,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0
5.0,3.0,3.0,0.0,0.1388888888888889,0.08333333333333333,0.08333333333333333,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0
1.0,0.0,1.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0,2.0,0.0,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.0
3.0,3.0,0.0,0.0,0.08823529411764706,0.08823529411764706,0.0,0.0,0.0
4.0,1.0,3.0,0.0,0.14814814814814814,0.037037037037037035,0.1111111111111111,0.0,0.0
8.0,6.0,2.0,0.0,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.0,0.0
3.0,2.0,2.0,0.0,0.15,0.1,0.1,0.0,0.0
2.0,0.0,2.0,0.0,0.125,0.0,0.125,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0
3.0,3.0,0.0,0.0,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
2.0,1.0,1.0,0.0,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.0,0.0
2.0,1.0,1.0,0.0,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.0,0.0
4.0,4.0,0.0,1.0,0.11428571428571428,0.11428571428571428,0.0,0.02857142857142857,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,2.0,0.0,0.15,0.05,0.1,0.0,0.0
2.0,1.0,1.0,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0
1.0,0.0,1.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0
3.0,2.0,1.0,0.0,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.0,0.0
3.0,1.0,2.0,0.0,0.11538461538461539,0.038461538461538464,0.07692307692307693,0.0,0.0
2.0,2.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0
2.0,2.0,1.0,0.0,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.0
9.0,7.0,2.0,0.0,0.16363636363636364,0.12727272727272726,0.03636363636363636,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3.0,2.0,0.0,0.09090909090909091,0.06818181818181818,0.045454545454545456,0.0,0.0
1.0,0.0,1.0,0.0,0.125,0.0,0.125,0.0,0.0
2.0,2.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.0
2.0,0.0,2.0,0.0,0.08695652173913043,0.0,0.08695652173913043,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3.0,1.0,0.0,0.12121212121212122,0.09090909090909091,0.030303030303030304,0.0,0.0
3.0,3.0,0.0,0.0,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0
2.0,1.0,1.0,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0
1.0,1.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0
4.0,1.0,3.0,0.0,0.12121212121212122,0.030303030303030304,0.09090909090909091,0.0,0.0
2.0,2.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0
3.0,3.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
3.0,1.0,2.0,0.0,0.036585365853658534,0.012195121951219513,0.024390243902439025,0.0,0.0
7.0,5.0,2.0,0.0,0.14583333333333334,0.10416666666666667,0.041666666666666664,0.0,0.0
1.0,1.0,0.0,1.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0
2.0,1.0,1.0,0.0,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.0,0.0
3.0,2.0,1.0,0.0,0.1875,0.125,0.0625,0.0,0.0
5.0,3.0,2.0,0.0,0.09259259259259259,0.05555555555555555,0.037037037037037035,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,4.0,0.0,0.11627906976744186,0.023255813953488372,0.09302325581395349,0.0,0.0
1.0,0.0,1.0,0.0,0.0625,0.0,0.0625,0.0,0.0
1.0,1.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0
2.0,2.0,1.0,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0
3.0,2.0,1.0,0.0,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.0,0.0
2.0,1.0,1.0,0.0,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.0,0.0
1.0,0.0,1.0,0.0,0.05,0.0,0.05,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.0,2.0,0.0,0.08823529411764706,0.058823529411764705,0.058823529411764705,0.0,0.0
2.0,1.0,1.0,0.0,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
