count_dictionary_words,count_named_entities,count_number_date_time,future_tense,subjectivity
9,0,0,0,0
34,1,1,0,0
50,3,1,0,0
33,2,0,0,0
11,1,0,0,0
20,1,1,0,0
13,0,0,0,0
33,0,1,0,0
4,1,0,0,0
11,0,0,0,0
16,1,0,0,0
26,1,3,0,0
30,0,1,0,0
22,1,0,0,0
31,1,0,0,0
18,0,0,0,0
14,1,0,0,0
4,0,0,0,0
15,1,0,0,0
5,0,0,0,0
12,0,0,0,0
19,0,0,0,0
22,2,0,0,0
16,0,0,0,0
21,1,0,0,0
6,0,0,0,0
16,0,1,0,0
22,2,0,0,0
29,0,0,0,0
13,0,1,0,0
7,3,0,0,0
16,0,0,0,0
19,0,0,0,0
5,1,0,0,0
29,1,0,0,0
8,3,0,0,0
12,1,0,0,0
18,0,0,0,0
26,0,0,0,0
22,1,0,0,0
12,0,0,0,0
19,3,0,0,0
4,0,0,0,0
21,0,0,0,0
41,1,0,0,0
19,1,1,0,0
37,0,0,0,0
7,0,0,0,0
11,1,0,0,0
5,0,0,0,0
10,1,0,0,0
20,0,0,0,0
6,1,0,0,0
29,0,0,0,0
17,0,0,0,0
17,1,0,0,0
9,0,0,0,0
10,0,0,0,0
13,0,0,0,0
29,1,1,0,0
14,0,0,0,0
27,0,1,0,0
21,2,1,0,0
71,3,0,0,0
38,1,0,0,0
10,1,0,0,0
24,1,1,0,0
12,0,0,0,0
48,0,0,0,0
10,1,0,0,0
38,0,0,0,0
13,0,0,0,0
14,1,0,0,0
14,2,0,0,0
3,0,0,0,0
30,1,0,0,0
33,1,0,0,0
17,0,0,0,0
9,1,0,0,0
26,4,2,0,0
23,1,0,0,0
15,0,0,0,0
5,0,0,0,0
47,1,0,0,0
42,0,0,0,0
27,0,0,0,0
9,0,2,0,0
29,0,0,0,0
21,0,1,0,0
39,1,1,0,0
24,0,1,0,0
44,1,0,0,0
46,0,0,0,0
17,0,0,0,0
5,0,0,0,0
10,0,0,0,0
19,0,0,0,0
21,0,0,0,0
12,0,0,0,0
12,1,0,0,0
10,0,0,0,0
16,0,0,0,0
13,0,0,0,0
12,1,0,0,0
3,1,0,0,0
4,0,0,0,0
7,1,0,0,0
12,0,0,0,0
