count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
9.0,0.0,0.0,1.0,0.01818181818181818,0.0
36.0,0.0,0.0,2.0,0.01,0.0
58.0,5.0,0.08620689655172414,12.0,0.041811846689895474,0.0
35.0,3.0,0.08571428571428572,4.0,0.02127659574468085,0.0
11.0,3.0,0.2727272727272727,3.0,0.05084745762711865,0.0
21.0,3.0,0.14285714285714285,3.0,0.02142857142857143,0.0
13.0,1.0,0.07692307692307693,1.0,0.0125,0.0
33.0,1.0,0.030303030303030304,1.0,0.005747126436781609,0.0
4.0,1.0,0.25,1.0,0.030303030303030304,0.0
12.0,1.0,0.08333333333333333,1.0,0.018867924528301886,0.0
18.0,3.0,0.16666666666666666,3.0,0.03488372093023256,0.0
31.0,1.0,0.03225806451612903,2.0,0.012903225806451613,0.0
30.0,1.0,0.03333333333333333,1.0,0.005847953216374269,0.0
24.0,2.0,0.08333333333333333,2.0,0.0136986301369863,0.0
31.0,2.0,0.06451612903225806,2.0,0.011299435028248588,0.0
18.0,1.0,0.05555555555555555,1.0,0.00980392156862745,0.0
15.0,2.0,0.13333333333333333,2.0,0.02127659574468085,0.0
4.0,1.0,0.25,1.0,0.03571428571428571,0.0
16.0,1.0,0.0625,1.0,0.011764705882352941,0.0
5.0,0.0,0.0,1.0,0.045454545454545456,0.0
12.0,1.0,0.08333333333333333,1.0,0.015384615384615385,0.0
21.0,1.0,0.047619047619047616,1.0,0.00909090909090909,0.0
25.0,5.0,0.2,5.0,0.03164556962025317,0.0
16.0,0.0,0.0,1.0,0.010638297872340425,0.0
22.0,2.0,0.09090909090909091,2.0,0.015748031496062992,0.0
7.0,0.0,0.0,0.0,0.0,0.0
17.0,1.0,0.058823529411764705,1.0,0.008849557522123894,0.0
24.0,2.0,0.08333333333333333,2.0,0.017857142857142856,0.0
31.0,1.0,0.03225806451612903,1.0,0.0064516129032258064,0.0
15.0,1.0,0.06666666666666667,1.0,0.014705882352941176,0.0
10.0,6.0,0.6,6.0,0.07692307692307693,0.0
18.0,0.0,0.0,0.0,0.0,0.0
22.0,1.0,0.045454545454545456,1.0,0.009615384615384616,0.0
6.0,2.0,0.3333333333333333,2.0,0.05,0.0
32.0,2.0,0.0625,2.0,0.012121212121212121,0.0
11.0,4.0,0.36363636363636365,4.0,0.06779661016949153,0.0
13.0,3.0,0.23076923076923078,3.0,0.04054054054054054,0.0
19.0,1.0,0.05263157894736842,1.0,0.008928571428571428,0.0
26.0,1.0,0.038461538461538464,1.0,0.0070921985815602835,0.0
23.0,2.0,0.08695652173913043,2.0,0.013513513513513514,0.0
12.0,0.0,0.0,1.0,0.017241379310344827,0.0
21.0,4.0,0.19047619047619047,5.0,0.04504504504504504,0.0
4.0,1.0,0.25,1.0,0.043478260869565216,0.0
21.0,0.0,0.0,1.0,0.008403361344537815,0.0
47.0,5.0,0.10638297872340426,5.0,0.021551724137931036,0.0
21.0,1.0,0.047619047619047616,1.0,0.008547008547008548,0.0
38.0,0.0,0.0,1.0,0.0040650406504065045,0.0
7.0,1.0,0.14285714285714285,1.0,0.03333333333333333,0.0
11.0,1.0,0.09090909090909091,2.0,0.03773584905660377,0.0
6.0,1.0,0.16666666666666666,1.0,0.024390243902439025,0.0
11.0,1.0,0.09090909090909091,2.0,0.038461538461538464,0.0
21.0,1.0,0.047619047619047616,1.0,0.007936507936507936,0.0
6.0,1.0,0.16666666666666666,1.0,0.022222222222222223,0.0
31.0,1.0,0.03225806451612903,1.0,0.006756756756756757,0.0
17.0,1.0,0.058823529411764705,1.0,0.009433962264150943,0.0
18.0,2.0,0.1111111111111111,2.0,0.02040816326530612,0.0
9.0,1.0,0.1111111111111111,1.0,0.02040816326530612,0.0
10.0,1.0,0.1,1.0,0.013513513513513514,0.0
13.0,1.0,0.07692307692307693,1.0,0.014285714285714285,0.0
31.0,2.0,0.06451612903225806,2.0,0.012048192771084338,0.0
16.0,1.0,0.0625,1.0,0.0136986301369863,0.0
30.0,4.0,0.13333333333333333,4.0,0.025,0.0
22.0,3.0,0.13636363636363635,3.0,0.02027027027027027,0.0
73.0,5.0,0.0684931506849315,5.0,0.010893246187363835,0.0
44.0,2.0,0.045454545454545456,2.0,0.00909090909090909,0.0
11.0,2.0,0.18181818181818182,2.0,0.03278688524590164,0.0
24.0,2.0,0.08333333333333333,2.0,0.013333333333333334,0.0
14.0,1.0,0.07142857142857142,1.0,0.014285714285714285,0.0
50.0,1.0,0.02,1.0,0.0036496350364963502,0.0
11.0,1.0,0.09090909090909091,2.0,0.034482758620689655,0.0
38.0,1.0,0.02631578947368421,1.0,0.005025125628140704,0.0
13.0,1.0,0.07692307692307693,1.0,0.0136986301369863,0.0
15.0,2.0,0.13333333333333333,2.0,0.028169014084507043,0.0
14.0,1.0,0.07142857142857142,2.0,0.029850746268656716,0.0
3.0,1.0,0.3333333333333333,1.0,0.047619047619047616,0.0
30.0,2.0,0.06666666666666667,2.0,0.012269938650306749,0.0
35.0,1.0,0.02857142857142857,3.0,0.016304347826086956,0.0
19.0,1.0,0.05263157894736842,1.0,0.011494252873563218,0.0
11.0,3.0,0.2727272727272727,3.0,0.04285714285714286,0.0
31.0,5.0,0.16129032258064516,5.0,0.026881720430107527,0.0
23.0,2.0,0.08695652173913043,2.0,0.013605442176870748,0.0
17.0,0.0,0.0,1.0,0.012195121951219513,0.0
6.0,1.0,0.16666666666666666,1.0,0.021739130434782608,0.0
48.0,1.0,0.020833333333333332,4.0,0.015444015444015444,0.0
42.0,1.0,0.023809523809523808,1.0,0.004524886877828055,0.0
29.0,1.0,0.034482758620689655,1.0,0.006289308176100629,0.0
11.0,1.0,0.09090909090909091,1.0,0.017543859649122806,0.0
31.0,0.0,0.0,1.0,0.007142857142857143,0.0
22.0,1.0,0.045454545454545456,1.0,0.007936507936507936,0.0
41.0,2.0,0.04878048780487805,2.0,0.009615384615384616,0.0
25.0,1.0,0.04,1.0,0.008130081300813009,0.0
48.0,2.0,0.041666666666666664,2.0,0.007547169811320755,0.0
46.0,1.0,0.021739130434782608,1.0,0.0038461538461538464,0.0
18.0,1.0,0.05555555555555555,1.0,0.0125,0.0
5.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,0.1,1.0,0.018518518518518517,0.0
19.0,1.0,0.05263157894736842,1.0,0.009174311926605505,0.0
24.0,1.0,0.041666666666666664,1.0,0.007142857142857143,0.0
15.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,0.13333333333333333,2.0,0.02247191011235955,0.0
10.0,1.0,0.1,1.0,0.015151515151515152,0.0
16.0,1.0,0.0625,1.0,0.012048192771084338,0.0
13.0,1.0,0.07692307692307693,1.0,0.015625,0.0
13.0,2.0,0.15384615384615385,4.0,0.05,0.0
4.0,1.0,0.25,1.0,0.043478260869565216,0.0
4.0,1.0,0.25,1.0,0.047619047619047616,0.0
9.0,3.0,0.3333333333333333,3.0,0.046875,0.0
12.0,1.0,0.08333333333333333,1.0,0.015151515151515152,0.0
16.0,1.0,0.0625,1.0,0.011627906976744186,0.0
25.0,1.0,0.04,2.0,0.014598540145985401,0.0
17.0,1.0,0.058823529411764705,1.0,0.011235955056179775,0.0
13.0,1.0,0.07692307692307693,1.0,0.016129032258064516,0.0
22.0,1.0,0.045454545454545456,1.0,0.007692307692307693,0.0
6.0,1.0,0.16666666666666666,1.0,0.03225806451612903,0.0
3.0,1.0,0.3333333333333333,1.0,0.04,0.0
16.0,1.0,0.0625,1.0,0.011764705882352941,0.0
13.0,1.0,0.07692307692307693,1.0,0.015625,0.0
7.0,1.0,0.14285714285714285,1.0,0.030303030303030304,0.0
38.0,1.0,0.02631578947368421,2.0,0.008888888888888889,0.0
9.0,2.0,0.2222222222222222,3.0,0.06382978723404255,0.0
16.0,0.0,0.0,1.0,0.011111111111111112,0.0
35.0,2.0,0.05714285714285714,2.0,0.009708737864077669,0.0
22.0,0.0,0.0,1.0,0.008547008547008548,0.0
56.0,4.0,0.07142857142857142,4.0,0.013937282229965157,0.0
43.0,7.0,0.16279069767441862,8.0,0.037914691943127965,0.0
47.0,6.0,0.1276595744680851,6.0,0.024390243902439025,0.0
29.0,0.0,0.0,0.0,0.0,0.0
5.0,3.0,0.6,12.0,0.41379310344827586,0.0
10.0,0.0,0.0,1.0,0.019230769230769232,0.0
15.0,0.0,0.0,1.0,0.013157894736842105,0.0
3.0,0.0,0.0,0.0,0.0,0.0
23.0,3.0,0.13043478260869565,3.0,0.022556390977443608,0.0
12.0,9.0,0.75,47.0,0.734375,0.0
14.0,1.0,0.07142857142857142,1.0,0.012658227848101266,0.0
4.0,1.0,0.25,1.0,0.034482758620689655,0.0
