sentence,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,subjectivity
O que aconteceria se toda população perdesse a visão ? ,1.0,0.0,1.0,1.0,0.1,0.0,0.1,0.1,0.0
"1984 até hoje incute tão grande temor em a alma humana , pois , A A toda evidência , trata - se de uma situação extrema que em relação a a humanidade pode ser entendida como uma real potencialidade . ",5.0,4.0,1.0,0.0,0.125,0.1,0.025,0.0,0.0
"Em o entanto , somente em o séc. XI , em uma academia de ciências fundada em o Cairo , é que foi identificada por a primeira vez uma gradação em o ato de perceber , que seria a passagem consciente de o "" ver "" a o "" decifrar "" ou "" ler "" ( MANGUEL , Uma história de a leitura , 2009 ) . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"O cenário muda um pouco quando Dora entra em cena , sendo a primeira menina dentro de a trupe , e assim acaba preenchendo a lacuna de mulher , sendo mãe de muitos e esposa de Pedro Bala . ",1.0,0.0,1.0,0.0,0.0256410256410256,0.0,0.0256410256410256,0.0,0.0
Essa foi a marca distintiva de o estilo de José Saramago . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1984 permite todas essas considerações e várias outras , ainda mais se o compararmos a outras obras parecidas , como Admirável Mundo Novo . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Se é para criticar faça uma critica construtiva e não uma critica comparativa . ,3.0,0.0,3.0,0.0,0.2142857142857142,0.0,0.2142857142857142,0.0,0.0
"Eu e ele começamos a ler juntos , e embora fosse bastante meloso e um pouco tolo apara dois admiradores de contos de terror , eu não posso dizer nem que odiei nem que amei . ",5.0,3.0,3.0,0.0,0.1388888888888889,0.0833333333333333,0.0833333333333333,0.0,0.0
"Sacanagem demais , minha gente ! ",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0
Ia ser só o apanhador em o campo de centeio e tudo . ,1.0,0.0,1.0,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0
"Tive que ler "" Capitães de a Areia "" por causa de um trabalho em grupo de português . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"O nome de o livro se deve a o fato , de Orwell ter escrito livro em 1948 e só enverteu os dois últimso algarismo por pressão de a editora ficando , 1984 . ",4.0,2.0,2.0,0.0,0.1176470588235294,0.0588235294117647,0.0588235294117647,0.0,0.0
"Minha recomendação para o mestre sim , o cara é simplesmente , um de os melhores vai principalmente para as pessoas que não curtem ler , assim como eu em o ensino médio . ",3.0,3.0,0.0,0.0,0.088235294117647,0.088235294117647,0.0,0.0,0.0
"Aquele que não participasse era acusado de cometer crimidéia - ou idéias ilegais para o Partido , e , portanto um perigo a a segurança nacional . ",4.0,1.0,3.0,0.0,0.1481481481481481,0.037037037037037,0.1111111111111111,0.0,0.0
"Jorge Amado consegue contar essa história de modo sutil , e muito cativante sem perder é claro a realidade , o protesto contra o sistema de governo e a situação de nosso país . ",8.0,6.0,2.0,0.0,0.2352941176470588,0.1764705882352941,0.0588235294117647,0.0,0.0
"Logo a cegueira afeta não só um pequeno grupo , mas grande parte de a cidade e assim sucessivamente . ",3.0,2.0,2.0,0.0,0.15,0.1,0.1,0.0,0.0
Algumas marcas em o texto aponta para um possível trauma sexual que Caulfield tenha sofrido . ,2.0,0.0,2.0,0.0,0.125,0.0,0.125,0.0,0.0
Como resenhar um clássico ? ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0
Sabia o que queria e correu atras para poder comendar o império que seu pai criara . ,3.0,3.0,0.0,0.0,0.1764705882352941,0.1764705882352941,0.0,0.0,0.0
O melhor de o grupo . ,1.0,1.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0
Deixo claro que comecei a ler pois todos falavam de esta série . ,1.0,1.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0
"Vejo como única forma de "" fugir "" de a manipulação de a sociedade , o estudo e a aquisição de conhecimento . ",1.0,1.0,0.0,0.0,0.0434782608695652,0.0434782608695652,0.0,0.0,0.0
"Afirmo que "" Se Houver Amanhã "" é uma trama que envolve paixões , aventura e até suspense , que Sheldon conseguiu dosar como pouquíssimos autores conseguem . ",2.0,2.0,0.0,0.0,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0
"A o longo de a narrativa , somos apresentados a os diversos personagens que compõem o grupo . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"De os seus primeiros diamantes , Jamie fundará uma companhia de comércio que será a sua vida e de todos os seus descendentes . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"É meio zen-budista , e isso marcou muito . ",1.0,1.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
"Não tinham uma casa onde pudesse viver e brincar , apenas um trapice abandonado que continha diversas crianças . ",2.0,1.0,1.0,0.0,0.1052631578947368,0.0526315789473684,0.0526315789473684,0.0,0.0
"Isabella está entre a vida e a morte , mas Edward chega a tempo e chupa o veneno de a mordida e tudo fica bem . ",2.0,1.0,1.0,0.0,0.0769230769230769,0.0384615384615384,0.0384615384615384,0.0,0.0
"Livro muito bom , abandonei mas porque a leitura é dificil e eu ja tinha visto o filme , o que tira um pouco de o gosto por a leitura , mas eu recomendo ! ",4.0,4.0,0.0,1.0,0.1142857142857142,0.1142857142857142,0.0,0.0285714285714285,0.0
