sentence,count_capitalized,count_dictionary_words,count_elongated,count_expressions,count_mentions,count_url,emoji_polarity_score,emoticon_polarity_score,negation,proportion_capitalized,subjectivity
"Os dois se mudam para uma casa com fama de má assombrada em Faetherbank, no interior e descobrem às duras penas que a residência possui relação com crimes macabros na cidade.",0.0,0.0,0.0,0.0,0.0114942528735632,29.0,0.0,0.0,0.0,0.0,0.0
"Conta a historia de cada uma de seus momentos marcantes de tim tim por tim fala de os conflitos de uma amizade, de a tristeza quando acontece algo com alguma amiga ...",0.0,0.0,0.0,0.0,0.0059880239520958,30.0,0.0,0.0,0.0,0.0,0.0
"De leitura muito fácil, é um livro acessível aos mais jovens.",0.0,0.0,0.0,0.0,0.0163934426229508,10.0,0.0,0.0,0.0,0.0,0.0
"Ainda arrasado após a perda da esposa, Tom Kennedy se muda com o filho Jake para o pacato vilarejo de Featherbank, em busca de um recomeço mais do que necessário.",0.0,0.0,0.0,0.0,0.0308641975308641,26.0,0.0,0.0,0.0,0.0,0.0
"Vinte anos antes, um pervertido assassino em série sequestrou e matou cinco meninos.",0.0,0.0,0.0,0.0,0.0119047619047619,12.0,0.0,0.0,0.0,0.0,0.0
"Nesse livro se desenrola uma história onde o próprio assassino se torna vitima de seu plano, mas não porque tenha dado errado, mas pelo contrario, deu tão certo que quando ele quis contar a verdade ninguém, mas ninguém mesmo, acreditava nele.",0.0,0.0,0.0,0.0,0.0041322314049586,40.0,0.0,0.0,0.0,1.0,0.0
"O livro em si trata de forma intensa a vida de um portador de transtorno mental, nos alerta quanto as maneiras de lidar com pessoas que passam por isso.",0.0,0.0,0.0,0.0,0.006578947368421,28.0,0.0,0.0,0.0,0.0,0.0
Indicado para crianças e pré-adolescentes!,0.0,0.0,0.0,0.0,0.0238095238095238,3.0,0.0,0.0,0.0,0.0,0.0
"O livro é um compilado de 10 contos peculiares (sério?) feito pelo estudioso de peculiaridades Millard Nullings, e retrata o folclore das crianças.",0.0,0.0,0.0,0.0,0.0204081632653061,19.0,0.0,0.0,0.0,0.0,0.0
Ele é um amigo muito querido e respeitado pela família Woodhouse,0.0,0.0,0.0,0.0,0.03125,9.0,0.0,0.0,0.0,0.0,0.0
"O livro mostra basicamente três coisas que Hemingway mais gostava. Bebida, boemia e a força da natureza contra o homem.",0.0,0.0,0.0,0.0,0.0252100840336134,17.0,0.0,0.0,0.0,0.0,0.0
"A leitura é curta e simples, apesar de ter uma crítica enorme por entre as linhas.",0.0,0.0,0.0,0.0,0.0121951219512195,15.0,0.0,0.0,0.0,0.0,0.0
"O país e o povo vivem em torpor, um torpor causado pela fome, pela falta de esperança, pela proximidade com a morte.",0.0,0.0,0.0,0.0,0.0086206896551724,21.0,0.0,0.0,0.0,0.0,0.0
Muidinga e Tuahir servem de voz condutora ligando os muitos fios fabulários num eixo comum.,0.0,0.0,0.0,0.0,0.0219780219780219,12.0,0.0,0.0,0.0,0.0,0.0
"O marido de Verity, Jeremy Crawford, e Lowen combinam da mulher passar um tempo na casa deles para analisar todo o material de Verity.",0.0,0.0,0.0,0.0,0.044776119402985,19.0,0.0,0.0,0.0,0.0,0.0
"Um livro que explicita com detalhes as consequências de uma guerra, com mistura da cultura africana e o realismo mágico.",0.0,0.0,0.0,0.0,0.0083333333333333,19.0,0.0,0.0,0.0,0.0,0.0
"E nessas história a quantidade de temas é gigantesca: racismo, abandono, violência, colonização, sexualidade, identidade nacional etc.",0.0,0.0,0.0,0.0,0.0074626865671641,15.0,0.0,0.0,0.0,0.0,0.0
"No meio do material sobre os livros, Lowen encontra um manuscrito que descobre ser uma autobiografia da mulher.",0.0,0.0,0.0,0.0,0.018018018018018,16.0,0.0,0.0,0.0,0.0,0.0
O enredo mostra o conflito dos personagens entre os meios e os fins para solucionar o problema de superpopulação do planeta.,0.0,0.0,0.0,0.0,0.0080645161290322,20.0,0.0,0.0,0.0,0.0,0.0
"Inferno remete claramente à obra Divina Comédia do artista Dante Alighieri e seus desdobramentos, onde a pessoa que comete pecados deve sofrer muito para ter a chance de chegar ao Paraíso.",0.0,0.0,0.0,0.0,0.0319148936170212,25.0,0.0,0.0,0.0,0.0,0.0
O livro também aborda a superpopulação como um problema de saúde pública.,0.0,0.0,0.0,0.0,0.0136986301369863,11.0,0.0,0.0,0.0,0.0,0.0
