count_named_entities,count_number_date_time,future_tense,subjectivity
1,1,0,0
0,1,0,0
0,0,0,0
3,0,0,0
0,2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
1,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
2,0,0,0
4,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
4,0,0,0
0,0,0,0
1,1,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,1,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,1,0,0
0,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
2,0,0,0
1,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
3,2,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
3,0,0,0
1,0,0,0
0,0,0,0
3,1,0,0
1,0,0,0
1,0,0,0
2,1,0,0
1,0,0,0
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
2,2,0,0
3,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
5,0,0,0
1,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
3,2,0,0
5,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
1,0,0,0
1,0,0,0
2,1,0,0
4,1,0,0
0,1,0,0
2,1,0,0
2,0,0,0
0,1,0,0
2,0,0,0
4,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
2,1,0,0
2,1,0,0
2,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
