pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_part,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,subjectivity
5,0,5,0,0,1,0,6,0,0,0,0,6,0,0,3,0,1
4,1,4,1,0,1,0,4,0,0,0,0,2,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,1,2,0,3,0,0,0,0,0,0,0,2,0,0
4,4,4,2,1,6,0,9,0,0,3,2,5,1,0,4,0,1
4,1,4,0,1,3,0,5,0,0,2,0,3,0,0,1,0,1
2,1,2,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0
3,1,3,0,1,0,0,4,0,0,0,0,2,0,0,0,0,1
1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,2,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,3,0,3,1,0,0,0,2,0,0,1,0,1
1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,0,1,0,0,2,0,2,0,0,0,1,2,0,0,2,0,1
0,3,0,1,2,5,0,6,0,0,1,2,4,1,0,5,0,0
0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,2,0,0
3,3,3,0,3,4,0,6,1,0,1,1,2,0,0,5,0,0
1,1,1,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0
1,0,1,1,1,3,0,1,0,0,1,1,4,1,0,1,0,0
2,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1
1,1,1,1,0,1,0,3,0,0,3,0,4,0,0,4,0,1
1,0,1,1,1,3,0,3,0,0,0,0,2,0,0,1,0,1
