sentence,count_dictionary_words,count_named_entities,count_number_date_time,future_tense,subjectivity
"Ambiente agradável, bons pratos, comida saborosa , bom serviço, vale a pena conferir, bom tempero, recomendo",15,0,0,0,1
"Lugar muito agradável, comida excelente é importante o bom atendimento dos garçons.",12,0,0,0,1
Recomendo.,1,0,0,0,0
Pedimos um pirarucu ao molho de tucupi e não arrependemos,10,0,0,0,0
"O Coqueiro verde serve uma deliciosa carne de sol, também contam com serviço de entrega o que é uma boa pedida para quem não quer sair de casa.. O serviço no restaurante é simples, a comida também, mas muito gostosa..",40,1,0,0,1
"Ambiente confortável, ótimo atendimento com um garçon simpático, ele nos contou a história do empreendimento e sempre bem solícito.",18,0,0,0,1
Comida Boa por um bom preço.,6,1,0,0,1
O restaurante fica dentro do hotel Vila Amazônia,8,1,0,0,0
"Boa carne, atendimento eficiente e grande variedade de saladas.",9,0,0,0,1
Local agradável.,2,0,0,0,1
Sucos com frutas locais além dos tradicionais.,7,0,0,0,0
"Adoro as pizzas e o almoço, nas duas unidades.",9,0,1,0,1
O atendimento também é muito bom.,6,0,0,0,1
Delivery também vale super a pena.. a pizza chega bem quentinha!,10,0,0,0,1
"Estivemos no kawamura para provar o sashimi, mas acabamos provando outros pratos tbm, gostamos de tudo, porém faltou um pouquinho de tempero na costelinha de porco.",24,0,0,0,0
Mas nada que nos impeça de voltar,7,0,0,0,0
"Tambaqui um dos peixes mais gostosos de Manaus e região você pode comprar e fazer o mesmo caldeirada ou assado na brasa com o famoso tucupi, pimenta da região.",29,2,1,0,0
Parada obrigatória sempre que vou a Manaus!!,7,2,0,0,0
"Tucunaré, tambaqui e pirarucu, é só escolher, cada um melhor que o outro.",13,0,0,0,0
"Atendimento bom, local familiar.",4,0,0,0,1
"Amei conhecer,o açaí é delicioso!Tem bastante opção em comida regional,o que nos deixa bem servidos!Super recomendo.",20,1,0,0,1
"O tacacá continua bom, mas o problema ainda é o preço.",11,0,0,0,1
"Inclusive, recentemente houve um aumento para R$18,00.",6,0,1,0,0
Resultado: só dá para provar de vez em quando.,8,0,0,0,0
"Como alternativa, o tacacá do parque rio negro é tão bom quanto e custa bem menos.",16,0,0,0,1
Deliciosos pratos.,2,1,0,0,1
Local aconchegante e familar.,2,0,0,0,1
Boa comida e boa bebida.,5,0,0,0,1
Ideal para desfrutar um jantar romantico.,5,1,0,0,0
"Tucunaré escabeche, e primeira, pirão a gosto.",7,0,0,0,0
Tucunaré peixada sem igual.,4,0,0,0,1
"Vários tipos de molho regional, com tucupi e outros.",9,0,0,0,0
"A Cachaçaria do Dedé do Shop Manauara brilha aos olhos: é linda, imponente, a decoração é fantástica e você pode ficar ao ladinho de árvores nativas da Amazônia.",24,2,0,0,1
"Os pratos, petiscos e bebidas são nota 10!",7,0,1,0,1
Mas....... o serviço às vezes deixa muito a desejar.... mais pela demora.,12,0,0,0,1
"Então, tenha paciência!",3,0,0,0,0
"rs O bar lota nos fins de tarde, principalmente às sextas feiras.",11,0,0,0,0
"No andar de cima, o burburinho chega a ser insuportável de tanta gente!",13,0,0,0,0
"rs Mas se vc quer se divertir, relaxar e degustar pratos deliciosos (experimente o Pirarucu na chapa!",15,1,0,0,0
"), aguente..... rs Vale a pena!",4,1,0,0,0
Mesmo com os preços um pouco salgados....,7,0,0,0,1
"Vale a pena fazer uma visita e conferir os pratos deliciosos, é um lugar seguro, confortável,refrigerado, familiar e romântico, preço  acessível,",22,1,0,0,1
Muito bom.,2,0,0,0,0
"Tanto no atendimento quanto no ambiente, e, principalmente nas variedades encontradas para um excelente café.",15,0,0,0,0
"Ideal para o domingo de manhã com a família, pois possui um ambiente agradável e uma ótima localização.",18,0,0,0,1
Já fui diversas vezes e sempre levando amigos e parentes para conhecer.,12,0,0,0,0
"Porém, da última vez que fui, depois de meses sem ir, notei que o preço aumentou, mas a qualidade não.",20,0,0,0,0
"As sopas permanecem as mesmas, com as pequenas variações de sempre em conta do dia da semana e eles nem servem mais água.",23,0,0,0,0
"Para quem não conhece ainda, recomendo.",6,0,0,0,0
Mas acho difícil a casa manter visitantes frequentes com a concorrência que aumenta.,13,0,0,0,0
"Otimo rodizio de carne tanto para o almoço como para o jantar, preço bastante em conta, grande variedade de comida, alem de carne, tem massa, saladas, ambiente bom, amplo, atendimento excelente.",28,1,0,0,1
SUPER RECOMENDO.,2,1,0,0,0
A tradição gaúcha está bem representada o a Búfalo.,9,1,0,0,0
Cortes especiais das mais nobres carnes são um convite todo especial.,11,1,0,0,1
"Delicioso, variado e completo buffet.",4,1,0,0,1
Pratos quentes fenomenais.,3,0,0,0,1
Também com opção de comida japonesa e peixes em geral.,10,0,0,0,0
Agrada facilmente todos os gostos.,5,0,0,0,0
"Ambiente amplo, confortável e muito agradável.",6,0,0,0,1
Atendimento nota 10.,2,0,1,0,1
Exelente localização.,1,1,0,0,1
"O nome do restaurante pode dar uma conotação de vender apenas lanches, mas não é assim, pois possui uma diversidade de sopas no rodízio que oferece.",26,0,0,0,0
"E é uma delicia, com destaque para a sopa de carne com legumes acompanhada da deliciosa torradinha.",16,0,0,0,1
atendimento deixa a desejar.,4,0,0,0,1
Nem sempre fui bem atendida.,5,0,0,0,0
Mesmo os não vegetarianos comerão bem.,6,0,0,0,0
"Comida de qualidade, com pouco óleo, lembra os restaurantes Adventistas.",9,1,0,0,1
"Almoçamos em uma sexta feira, fomos em 2 famílias.",8,1,1,0,0
A comida estava boa e bem servida.,7,0,0,0,1
O ambiente é amplo com 2 andares e banheiros bastante limpos.,10,0,1,0,1
O atendimento é cordial.,4,0,0,0,1
"O que nos incomodou foi o volume do som da apresentação de um cantor, não permitia conversar em um tom normal, acabou nos irritando.",24,0,0,0,0
"O cardápio é bem variado, gostoso, mas o atendimento é muito ruim.",12,0,0,0,1
"As garçonetes atendem com um mau humor...parece que estão fazendo um favor, eu mesmo pedi uma tapioca e estou esperando entregarem até hoje!",23,0,0,0,0
