sentence,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,subjectivity
"""Ambiente agradável, bons pratos, comida saborosa , bom serviço, vale a pena conferir, bom tempero, recomendo""",0.1238695652173913,2.849,0.112695652173913,2.592,0.0255652173913043,0.5880000000000001,0.0825217391304347,1.898,0.0076521739130434,0.176,1.0
"""Lugar muito agradável, comida excelente é importante o bom atendimento dos garçons.""",0.2613125,4.181,0.1674375,2.679,0.2115,3.384,0.2225,3.56,0.038125,0.6100000000000001,1.0
"""Recomendo.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Pedimos um pirarucu ao molho de tucupi e não arrependemos""",0.1021666666666666,1.226,0.0810833333333333,0.973,0.1525,1.83,0.1119166666666666,1.343,0.0,0.0,0.0
"""O Coqueiro verde serve uma deliciosa carne de sol, também contam com serviço de entrega o que é uma boa pedida para quem não quer sair de casa.. O serviço no restaurante é simples, a comida também, mas muito gostosa..""",0.0996595744680851,4.684,0.0954255319148936,4.484999999999999,0.1047234042553191,4.922,0.0973829787234042,4.577,0.0272553191489361,1.281,1.0
"""Ambiente confortável, ótimo atendimento com um garçon simpático, ele nos contou a história do empreendimento e sempre bem solícito.""",0.1317083333333333,3.161,0.1140833333333333,2.738,0.1828333333333333,4.388,0.1428333333333333,3.4279999999999995,0.0,0.0,1.0
"""Comida Boa por um bom preço.""",0.11,0.99,0.0352222222222222,0.317,0.1132222222222222,1.019,0.0818888888888888,0.7369999999999999,0.0063333333333333,0.057,1.0
"""O restaurante fica dentro do hotel Vila Amazônia""",0.1068,1.068,0.0,0.0,0.084,0.8400000000000001,0.0955,0.955,0.0955999999999999,0.956,0.0
"""Boa carne, atendimento eficiente e grande variedade de saladas.""",0.2441538461538461,3.174,0.2777692307692307,3.611,0.2146923076923076,2.791,0.2445384615384615,3.1790000000000003,0.0032307692307692,0.042,1.0
"""Local agradável.""",0.1938,0.969,0.1632,0.8160000000000001,0.1264,0.632,0.1536,0.768,0.0224,0.112,1.0
"""Sucos com frutas locais além dos tradicionais.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Adoro as pizzas e o almoço, nas duas unidades.""",0.0183846153846153,0.239,0.011076923076923,0.144,0.0,0.0,0.0086153846153846,0.112,0.0035384615384615,0.046,1.0
"""O atendimento também é muito bom.""",0.1706666666666666,1.536,0.1058888888888888,0.953,0.1338888888888889,1.205,0.1572222222222222,1.415,0.0614444444444444,0.553,1.0
"""Delivery também vale super a pena.. a pizza chega bem quentinha!""",0.1025333333333333,1.538,0.1248666666666666,1.873,0.0613333333333333,0.92,0.0962,1.443,0.0,0.0,1.0
"""Estivemos no kawamura para provar o sashimi, mas acabamos provando outros pratos tbm, gostamos de tudo, porém faltou um pouquinho de tempero na costelinha de porco.""",0.1187812499999999,3.801,0.1044062499999999,3.341,0.1152187499999999,3.687,0.119375,3.82,0.02971875,0.951,0.0
"""Mas nada que nos impeça de voltar""",0.18,1.62,0.1208888888888888,1.088,0.1866666666666666,1.6800000000000002,0.1888888888888888,1.7,0.1313333333333333,1.182,0.0
"""Tambaqui um dos peixes mais gostosos de Manaus e região você pode comprar e fazer o mesmo caldeirada ou assado na brasa com o famoso tucupi, pimenta da região.""",0.081060606060606,2.6750000000000003,0.0716969696969697,2.366,0.0602727272727272,1.989,0.0694545454545454,2.292,0.0028181818181818,0.0929999999999999,0.0
"""Parada obrigatória sempre que vou a Manaus!!""",0.0687272727272727,0.756,0.050090909090909,0.551,0.084,0.924,0.0676363636363636,0.744,0.0,0.0,0.0
