pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,count_dictionary_words,count_named_entities,count_number_date_time,count_url,count_elongated,count_mentions,emoji_polarity_score,emoticon_polarity_score,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
5.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.23809523809523808,0.19047619047619047,0.047619047619047616,0.0,0.13566666666666669,2.849,0.0638095238095238,1.3399999999999999,0.020476190476190474,0.43,0.09038095238095238,1.898,-0.008380952380952381,-0.176,0.13566666666666669,2.849,0.12342857142857143,2.592,0.028000000000000004,0.5880000000000001,0.09038095238095238,1.898,0.008380952380952381,0.176,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.06666666666666667,1.0,0.009259259259259259,1.0
4.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.1889285714285714,2.6449999999999996,-0.15664285714285714,-2.193,0.15314285714285716,2.144,0.16328571428571428,2.286,0.035428571428571434,0.49600000000000005,0.29864285714285715,4.181,0.19135714285714284,2.679,0.24171428571428571,3.384,0.2542857142857143,3.56,0.04357142857142858,0.6100000000000001,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.08333333333333333,1.0,0.012048192771084338,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1,0.0
0.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1,0.0,0.1,0.0,-0.019199999999999995,-0.19199999999999995,-0.0973,-0.973,-0.015000000000000003,-0.15000000000000002,0.021100000000000008,0.21100000000000008,0.0,0.0,0.1226,1.226,0.0973,0.973,0.183,1.83,0.1343,1.343,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.1,1.0,0.017543859649122806,0.0
5.0,5.0,4.0,2.0,1.0,5.0,0.0,9.0,0.0,3.0,1.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,7.0,5.0,2.0,0.0,0.15555555555555556,0.1111111111111111,0.044444444444444446,0.0,0.06337777777777778,2.8520000000000003,-0.03353333333333333,-1.509,0.07519999999999999,3.3839999999999995,0.06997777777777779,3.1490000000000005,-0.002022222222222222,-0.091,0.1040888888888889,4.684,0.09966666666666665,4.484999999999999,0.10937777777777777,4.922,0.10171111111111111,4.577,0.02846666666666667,1.2810000000000001,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.025,3.0,0.013824884792626729,1.0
4.0,2.0,2.0,0.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.07922727272727272,1.7429999999999999,0.03781818181818181,0.832,0.10945454545454546,2.408,0.10436363636363638,2.2960000000000003,0.0,0.0,0.1436818181818182,3.161,0.12445454545454546,2.738,0.19945454545454544,4.388,0.1558181818181818,3.4279999999999995,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.05263157894736842,1.0,0.007633587786259542,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,-0.061142857142857145,-0.428,0.04528571428571428,0.317,-0.14557142857142855,-1.019,-0.056428571428571425,-0.39499999999999996,-0.008142857142857143,-0.057,0.14142857142857143,0.99,0.04528571428571428,0.317,0.14557142857142855,1.019,0.10528571428571427,0.7369999999999999,0.008142857142857143,0.057,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.3333333333333333,2.0,0.07142857142857142,1.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1075,-0.86,0.0,0.0,-0.0855,-0.684,-0.104125,-0.833,0.1195,0.956,0.1335,1.068,0.0,0.0,0.10500000000000001,0.8400000000000001,0.119375,0.955,0.1195,0.956,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.25,3.0,0.0625,0.0
3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.28854545454545455,3.174,-0.297,-3.267,0.25372727272727275,2.791,0.28900000000000003,3.1790000000000003,0.0038181818181818182,0.042,0.28854545454545455,3.174,0.32827272727272727,3.6109999999999998,0.25372727272727275,2.791,0.28900000000000003,3.1790000000000003,0.0038181818181818182,0.042,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.1111111111111111,1.0,0.015873015873015872,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,0.9690000000000001,-0.14533333333333334,-0.436,0.21066666666666667,0.632,0.256,0.768,-0.037333333333333336,-0.112,0.323,0.9690000000000001,0.272,0.8160000000000001,0.21066666666666667,0.632,0.256,0.768,0.037333333333333336,0.112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,1.0,0.0625,1.0
