rule1,rule2,rule3,rule4,rule5,subjectivity
1,0,0,1,0,1
1,1,0,1,0,1
0,0,0,0,0,0
0,0,0,0,1,0
1,1,0,0,1,1
1,1,0,1,0,1
1,0,0,0,0,1
0,0,0,0,0,0
1,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,0
0,0,0,0,0,1
0,1,0,0,0,1
0,1,0,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,1,1,1,0,1
1,0,0,0,0,1
0,0,0,1,0,1
1,0,0,0,0,1
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,1,0,1
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,1,0,1
1,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
1,0,0,1,0,1
0,0,0,0,0,0
0,1,0,1,0,0
1,1,0,1,0,1
1,0,0,0,0,1
0,0,1,1,0,1
0,0,0,1,0,0
0,0,0,0,0,0
0,1,0,1,0,1
0,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,0,1,1
0,1,0,0,0,1
0,0,0,0,0,1
0,0,0,1,1,0
0,1,0,0,0,1
1,0,0,0,1,0
0,1,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,0
0,1,0,0,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,1,0,0,0,1
0,1,0,1,0,1
0,1,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,1,0,1
1,0,0,1,0,1
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,1,0,0
1,0,0,0,0,1
0,0,0,1,0,0
0,1,0,0,0,1
0,1,0,0,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,0,0,0
1,0,0,0,0,1
0,0,0,1,0,1
1,0,0,1,0,1
0,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,1
0,1,0,0,0,1
0,1,0,0,0,1
0,0,0,0,0,0
1,1,0,1,1,1
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,1,0,0,0,1
0,1,0,0,0,1
1,0,0,1,0,1
0,0,0,1,0,1
1,0,0,0,0,1
1,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,1,1
1,0,1,1,0,1
0,0,0,1,1,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,1,0,1
1,1,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,0
0,1,0,1,0,1
0,0,0,0,0,0
0,0,0,1,0,1
0,0,0,1,0,0
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,0,0
1,1,0,0,0,1
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,1,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,1,0,1
1,1,0,1,1,1
0,0,0,0,0,1
0,0,0,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,1
0,1,0,0,0,0
0,1,0,0,0,1
