has_opinion	sentence
1	"Ambiente agradável, bons pratos, comida saborosa , bom serviço, vale a pena conferir, bom tempero, recomendo"
1	"Lugar muito agradável, comida excelente é importante o bom atendimento dos garçons."
0	"Recomendo."
0	"Pedimos um pirarucu ao molho de tucupi e não arrependemos"
1	"O Coqueiro verde serve uma deliciosa carne de sol, também contam com serviço de entrega o que é uma boa pedida para quem não quer sair de casa.. O serviço no restaurante é simples, a comida também, mas muito gostosa.."
1	"Ambiente confortável, ótimo atendimento com um garçon simpático, ele nos contou a história do empreendimento e sempre bem solícito."
1	"Comida Boa por um bom preço."
0	"O restaurante fica dentro do hotel Vila Amazônia"
1	"Boa carne, atendimento eficiente e grande variedade de saladas."
1	"Local agradável."
0	"Sucos com frutas locais além dos tradicionais."
1	"Adoro as pizzas e o almoço, nas duas unidades."
1	"O atendimento também é muito bom."
1	"Delivery também vale super a pena.. a pizza chega bem quentinha!"
0	"Estivemos no kawamura para provar o sashimi, mas acabamos provando outros pratos tbm, gostamos de tudo, porém faltou um pouquinho de tempero na costelinha de porco."
0	"Mas nada que nos impeça de voltar"
0	"Tambaqui um dos peixes mais gostosos de Manaus e região você pode comprar e fazer o mesmo caldeirada ou assado na brasa com o famoso tucupi, pimenta da região."
0	"Parada obrigatória sempre que vou a Manaus!!"
0	"Tucunaré, tambaqui e pirarucu, é só escolher, cada um melhor que o outro."
1	"Atendimento bom, local familiar."
1	"Amei conhecer,o açaí é delicioso!Tem bastante opção em comida regional,o que nos deixa bem servidos!Super recomendo."
1	"O tacacá continua bom, mas o problema ainda é o preço."
0	"Inclusive, recentemente houve um aumento para R$18,00."
0	"Resultado: só dá para provar de vez em quando."
1	"Como alternativa, o tacacá do parque rio negro é tão bom quanto e custa bem menos."
1	"Deliciosos pratos."
1	"Local aconchegante e familar."
1	"Boa comida e boa bebida."
0	"Ideal para desfrutar um jantar romantico."
0	"Tucunaré escabeche, e primeira, pirão a gosto."
1	"Tucunaré peixada sem igual."
0	"Vários tipos de molho regional, com tucupi e outros."
1	"A Cachaçaria do Dedé do Shop Manauara brilha aos olhos: é linda, imponente, a decoração é fantástica e você pode ficar ao ladinho de árvores nativas da Amazônia."
1	"Os pratos, petiscos e bebidas são nota 10!"
1	"Mas....... o serviço às vezes deixa muito a desejar.... mais pela demora."
0	"Então, tenha paciência!"
0	"rs O bar lota nos fins de tarde, principalmente às sextas feiras."
0	"No andar de cima, o burburinho chega a ser insuportável de tanta gente!"
0	"rs Mas se vc quer se divertir, relaxar e degustar pratos deliciosos (experimente o Pirarucu na chapa!"
0	"), aguente..... rs Vale a pena!"
1	"Mesmo com os preços um pouco salgados...."
1	"Vale a pena fazer uma visita e conferir os pratos deliciosos, é um lugar seguro, confortável,refrigerado, familiar e romântico, preço  acessível,"
0	"Muito bom."
0	"Tanto no atendimento quanto no ambiente, e, principalmente nas variedades encontradas para um excelente café."
1	"Ideal para o domingo de manhã com a família, pois possui um ambiente agradável e uma ótima localização."
0	"Já fui diversas vezes e sempre levando amigos e parentes para conhecer."
0	"Porém, da última vez que fui, depois de meses sem ir, notei que o preço aumentou, mas a qualidade não."
0	"As sopas permanecem as mesmas, com as pequenas variações de sempre em conta do dia da semana e eles nem servem mais água."
0	"Para quem não conhece ainda, recomendo."
0	"Mas acho difícil a casa manter visitantes frequentes com a concorrência que aumenta."
1	"Otimo rodizio de carne tanto para o almoço como para o jantar, preço bastante em conta, grande variedade de comida, alem de carne, tem massa, saladas, ambiente bom, amplo, atendimento excelente."
0	"SUPER RECOMENDO."
0	"A tradição gaúcha está bem representada o a Búfalo."
1	"Cortes especiais das mais nobres carnes são um convite todo especial."
1	"Delicioso, variado e completo buffet."
1	"Pratos quentes fenomenais."
0	"Também com opção de comida japonesa e peixes em geral."
0	"Agrada facilmente todos os gostos."
1	"Ambiente amplo, confortável e muito agradável."
1	"Atendimento nota 10."
1	"Exelente localização."
0	"O nome do restaurante pode dar uma conotação de vender apenas lanches, mas não é assim, pois possui uma diversidade de sopas no rodízio que oferece."
1	"E é uma delicia, com destaque para a sopa de carne com legumes acompanhada da deliciosa torradinha."
1	"atendimento deixa a desejar."
0	"Nem sempre fui bem atendida."
0	"Mesmo os não vegetarianos comerão bem."
1	"Comida de qualidade, com pouco óleo, lembra os restaurantes Adventistas."
0	"Almoçamos em uma sexta feira, fomos em 2 famílias."
1	"A comida estava boa e bem servida."
1	"O ambiente é amplo com 2 andares e banheiros bastante limpos."
1	"O atendimento é cordial."
0	"O que nos incomodou foi o volume do som da apresentação de um cantor, não permitia conversar em um tom normal, acabou nos irritando."
1	"O cardápio é bem variado, gostoso, mas o atendimento é muito ruim."
0	"As garçonetes atendem com um mau humor...parece que estão fazendo um favor, eu mesmo pedi uma tapioca e estou esperando entregarem até hoje!"
1	"Precisa melhorar muito o atendimento ou dar um treinamento porque a comida é muito boa e aquelas funcionárias afundam o restaurante."
0	"Rodízio contém pizzas e massas e além disso tem cardápio, estacionamento não tem."
0	"Contém também sopas"
1	"O restaurante do SENAC é bem situado."
1	"Ambiente super higienizado, atendimento excelente, os preços são ótimos."
1	"As comidas são excelentes."
0	"Muito bom..., aconselho!."
1	"Vale experimentar o tambaqui na brasa, é muito bom!!!"
1	"O restaurante é sem luxo, mas o atendimento é muito bom, com garçons simpáticos."
1	"Muito bom o atendimento."
1	"Cardápio variado."
0	"Culinária regional e deliciosa."
1	"Ambiente agradável."
1	"Custo benefício alto."
0	"So vale a pena em datas especiais."
0	"Recomendo conhecer."
0	"Lanche em um bairro tradicional e antido de manaus, localizado mas precisamente em uma area rodeada de auto peças."
0	"O tacacá da Gisela, juntamente com o governo do Estado, promovem todas as quartas o tacacá na bossa que é um evento onde os artistas locais se apresentam no largo."
1	"Ótima opção para quem está a passeio pela cidade e quer experimentar um tacacá e ouvir boa música."
0	"O tacacá não é um dos melhores, mas a música compensa."
1	"Comida muito boa."
1	"Casa muito linda, grande e elegante."
1	"Buffet variado de pratos quentes e frios."
1	"Churrascaria perfeita, Fanatástica!"
0	"Imperdivel!"
1	"Excelente comida, excelente atendimento."
1	"Pouca tempo de espera se consideramos que era uma data festiva."
1	"Eu recomendo o Banzeiro, um lugar perfeito para comer uma comida tipica da região e boa qualidade."
0	"Manaus esta de parabéns!"
0	"Ótimo lugar para ir comemorar aniversarios, confraternizações e tudo mais."
1	"O preço é mais salgado mas é justo."
1	"Ambiente bem amplo."
1	"Atendimento muito eficaz!"
0	"Recomendo!"
1	"Variação no cardipio 100% regional, comida quentinha e muito saborosa, tambaqui assado sem espinha juntamente com a farofa de castanha e aquele suco de cupuaçu, melhor degustação que já tive."
0	"Sim, em Manaus tem opções todos os dias da semana, e no Armando começa na segunda feira!!!"
1	"Tem música ao vivo, bolinho de bacalhau, bebidas geladas, bom atendimento, gente de todas as partes do mundo!!!"
0	"É sem sombra de dúvidas um dos melhores bares da cidade, sem frescura!!!"
0	"A melhor coisa dessa padaria é a possibilidade de montar seu próprio sanduíche com as opções da casa."
1	"Apesar de não ser um lanche pra matar a fome (ainda mais porque não é tão barato assim), é uma ótima opção para acompanhar um cafezinho."
1	"Cafezinho esse que aliás, é muito bom."
1	"O lugar é adoravel, oferece um excelente serviço e o lugar perfeito para um jantarzinho a dois... Para quem gosta de massa este é um ótimo restaurante..."
1	"Um lugar aconchegante, seguro, tem estacionamento, atendimento é bom, os preços são moderados, cardápio variado, sopas, vale a pena conhecer."
1	"A melhor peixaria da cidade!"
1	"Ambiente agradável e culinária apurada, tendo como principais ingredientes os belos peixes de água doce da região."
1	"O preço é um pouco acima da média, mas vale cada centavo que custa."
0	"Recomendo"
0	"Comemos um prato Camarões Beira mar!"
0	"É excepcional, mas poderia vim um pouco mais..."
0	"Serve três pessoas."
0	"Vem como acompanhamento batata cozida e arroz com brócolis!"
0	"Coco Bambu sempre tem fila!"
0	"É bom ligar antes para fazer a reserva."
1	"Ligue o quanto antes porque o horário para agendar reserva é limitado."
1	"Hamburgueria artesanal com tempero diferenciado, de primeira qualidade, fora o atendimento no qual diferencia por serem bilíngues,."
0	"Recomendo quem quer saciar a fome.."
1	"Os pratos são bem servidos, por isso atenção, o pedido para uma pessoa geralmente vem com dois filés ou postas, dependendo do seu apetite e do seu bolso...peça o que lhe for melhor."
1	"Uma excelente descoberta que fiz em terras manauaras ao localizar este simpático restaurante de peixe amazônico próximo ao hotel em que estive hospedado (Blue Tree Premium)."
0	"Como já disse o cardápio principal é de peixe amazônico."
0	"Experimentei o 'Tambaqui na Telha'."
0	"No jantar em que estive havia música ao vivo com um ótimo cantor de MPB."
1	"Local agradável, vale a visita e excelente custo benefício (1 prato serve 3)."
1	"ótimo restaurante e ótimo atendimento, fomos atendidos pelo sr. Pedro Jacks muito atencioso, gostei de mais."
1	"Excelente peixe, para quem esta localizado no Distrito Industrial, excelente pedida para almoço."
0	"dica Matrinxã recheada."
1	"É um restaurante executivo com buffet gostoso e serviço a la carte bem no centrinho da cidade mas é bem pequeno."
0	"Funciona para almoço e jantar."
1	"Nota 10 restaurante com comidas típicas e variadas para todos gostos atendimento nota mil super recomendo fantástico voltaria com certeza!!!"
0	"Comparativamente ao Coco Bambu de Brasília, achei os pratos melhores servidos de camarão."
1	"Lugar novo , dentro do shopping Ponta Negra."
1	"Serviço bom."
1	"Som ao vivo agradavel."
0	"Pratos dão até para três pessoas."
1	"Muito bom, recomendo atendimento 100% Agradeço o Ricardo José pelo excelente atendimento e o prato de camarão show!!!"
1	"O atendimento foi ótimo, a entrada (banana pacová com patê de algum peixe) foi uma delícia e o tambaqui, em si, um espetáculo!"
0	"Recomendo!"
1	"O preço também é ótimo!"
1	"Comida regional chique demais."
0	"Ambiente frequentado pela elite de Manaus."
0	"Encontrei até jogador de vôlei (Nalbert)."
0	"E vi um peixe tambaqui de 40 Kg!!!"
0	"Pratos usando produtos regionais mas com inovações."
1	"Ambiente agradável com decoração lembrando a Amazônia como parede imitando escamas de pirarucu e casa de pau-a-pique."
1	"Melhor rodízio de pizza de manaus (de terça a quinta-feira), a pizza com massa fininha, bem recheada e com vários sabores, muito bom!!"
1	"O rodízio tem um preço acima dos concorrentes, mas vale o cobrado pela qualidade oferecida."
1	"O serviço é bom, sempre tem um garçom por perto e o bacana é que possui um estacionamento gratuito bem em frente."
0	"O gergelim na borda é a marca registrada da pizzaria e vai muito bem com os sabores salgados."
0	"Para beber uma dica é o mate que fazem, que acompanha bem a pizza."
1	"Já na sobremesa, as pizzas de cupuaçu e de mm's já fazem valer o rodízio, por serem sensacionais."
0	"Manaus tem peixarias muito boas e a Choupana, sem dúvida está entre as melhores!"
1	"A comida é ótima, saborosa e bem preparada."
1	"O ambiente é agradabilíssimo!"
0	"Recomendo!"
1	"Coco bambu é maravilhoso em qualquer lugar!"
0	"Camarão internacional para duas pessoas serve tranquilo para três!"
1	"De sobremesa a cocada ao forno com sorvete é espetacular!"
1	"Sem duvidas, o Restaurante Banzeiro é uma das melhores peixarias de Manaus!"
1	"A criatividade na elaboração dos pratos é fantástica!"
1	"Uma explosão de sabores regionais inigualável!"
0	"Atualmente peca, é muito, pela falta de compromisso com o horário de atendimento (fechamento) pela parte da noite!"
0	"Visito o restaurante com certa frequência e muitas foram as vezes q mesmo chegando antes das 23:00 ( horário de fechamento, em tese)encontrei com a plaquinha minúscula, pouco visível de dentro do carro, avisando que já estava fechado."
0	"Saudades do tempo em q o maître Adonias  nos  atendia e aos demais clientes, com rigor no cumprimento do horário!."
0	"Lamentável um restaurante da categoria do Banzeiro, não respeitar os clientes com o Básico., qual seja, cumprimento do horário!"
