sentence,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,subjectivity
O que aconteceria se toda população perdesse a visão ? ,0.0746,0.746,0.0072999999999999,0.073,0.0931,0.931,0.0583,0.583,0.0,0.0,0.0
"1984 até hoje incute tão grande temor em a alma humana , pois , A A toda evidência , trata - se de uma situação extrema que em relação a a humanidade pode ser entendida como uma real potencialidade . ",0.1001249999999999,4.005,-0.04875,-1.95,0.07075,2.83,0.08165,3.266,-0.0109499999999999,-0.4379999999999999,0.0
"Em o entanto , somente em o séc. XI , em uma academia de ciências fundada em o Cairo , é que foi identificada por a primeira vez uma gradação em o ato de perceber , que seria a passagem consciente de o "" ver "" a o "" decifrar "" ou "" ler "" ( MANGUEL , Uma história de a leitura , 2009 ) . ",0.0601029411764705,4.087,-0.0523235294117647,-3.558,0.07025,4.777,0.0658382352941176,4.477,0.0129117647058823,0.878,0.0
"O cenário muda um pouco quando Dora entra em cena , sendo a primeira menina dentro de a trupe , e assim acaba preenchendo a lacuna de mulher , sendo mãe de muitos e esposa de Pedro Bala . ",0.0525384615384615,2.049,-0.1242820512820512,-4.847,0.0608974358974358,2.375,0.0785897435897436,3.0650000000000004,-0.002051282051282,-0.08,0.0
Essa foi a marca distintiva de o estilo de José Saramago . ,0.1095833333333333,1.315,-0.1775833333333333,-2.131,0.14925,1.791,0.1429166666666666,1.715,-0.0079166666666666,-0.095,0.0
"1984 permite todas essas considerações e várias outras , ainda mais se o compararmos a outras obras parecidas , como Admirável Mundo Novo . ",-0.0222916666666666,-0.535,0.007125,0.171,0.0019583333333333,0.047,-0.01725,-0.414,-0.0385416666666666,-0.925,0.0
Se é para criticar faça uma critica construtiva e não uma critica comparativa . ,-0.0627857142857142,-0.879,0.0,0.0,0.0,0.0,-0.0209285714285714,-0.293,0.0,0.0,0.0
"Eu e ele começamos a ler juntos , e embora fosse bastante meloso e um pouco tolo apara dois admiradores de contos de terror , eu não posso dizer nem que odiei nem que amei . ",-0.0130555555555555,-0.47,-0.0738333333333333,-2.658,-0.0279166666666666,-1.0050000000000003,0.0048333333333333,0.174,-0.0241666666666666,-0.87,0.0
"Sacanagem demais , minha gente ! ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ia ser só o apanhador em o campo de centeio e tudo . ,0.0627692307692307,0.8160000000000001,-0.0642307692307692,-0.8350000000000002,0.0689230769230769,0.896,0.0747692307692307,0.972,-0.0038461538461538,-0.05,0.0
"Tive que ler "" Capitães de a Areia "" por causa de um trabalho em grupo de português . ",0.0426315789473684,0.81,-0.1489473684210526,-2.83,0.0605263157894736,1.15,0.0853684210526315,1.622,-0.005578947368421,-0.106,0.0
"O nome de o livro se deve a o fato , de Orwell ter escrito livro em 1948 e só enverteu os dois últimso algarismo por pressão de a editora ficando , 1984 . ",0.1105294117647058,3.758,-0.0497647058823529,-1.692,0.1200294117647058,4.081,0.1152941176470588,3.92,-0.0066764705882352,-0.227,0.0
