sentence,count_words,pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_part,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,count_named_entities,count_number_date_time,future_tense,rule1,rule2,rule3,rule4,rule5,count_capitalized,count_dictionary_words,count_elongated,count_expressions,count_mentions,count_url,emoji_polarity_score,emoticon_polarity_score,negation,proportion_capitalized,subjectivity
"Os dois se mudam para uma casa com fama de má assombrada em Faetherbank, no interior e descobrem às duras penas que a residência possui relação com crimes macabros na cidade.",31.0,0.0,0.0,0.0,0.0,0.0114942528735632,3.0,8.0,3.0,0.0,1.0,3.0,0.0,8.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0237575757575757,0.784,-0.0253333333333333,-0.8360000000000001,0.0005757575757575,0.0189999999999999,0.0104242424242424,0.3440000000000002,-0.0285757575757575,-0.943,0.0237575757575757,0.784,0.0378181818181818,1.2480000000000002,0.0523939393939393,1.729,0.0454545454545454,1.5,0.0309393939393939,1.021,5.0,5.0,5.0,5.0,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.1515151515151515,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
"Conta a historia de cada uma de seus momentos marcantes de tim tim por tim fala de os conflitos de uma amizade, de a tristeza quando acontece algo com alguma amiga ...",31.0,0.0,0.0,0.0,0.0,0.0059880239520958,1.0,7.0,1.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.122,4.026,-0.1749090909090909,-5.772,0.1634848484848484,5.395,0.164030303030303,5.413,-0.008,-0.264,0.122,4.026,0.2143636363636363,7.074,0.2240909090909091,7.395,0.1842121212121212,6.079000000000001,0.008,0.264,5.0,5.0,5.0,5.0,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
"De leitura muito fácil, é um livro acessível aos mais jovens.",11.0,0.0,0.0,0.0,0.0,0.0163934426229508,2.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.026076923076923,-0.3389999999999999,-0.1249230769230769,-1.624,-0.011076923076923,-0.144,0.0176153846153846,0.229,0.0385384615384615,0.501,0.2011538461538461,2.615,0.1361538461538461,1.77,0.2321538461538461,3.018,0.2026923076923076,2.635,0.0465384615384615,0.6050000000000001,3.0,3.0,3.0,3.0,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
"Ainda arrasado após a perda da esposa, Tom Kennedy se muda com o filho Jake para o pacato vilarejo de Featherbank, em busca de um recomeço mais do que necessário.",30.0,0.0,0.0,0.0,0.0,0.0308641975308641,2.0,8.0,2.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0168484848484848,0.5560000000000002,-0.0948484848484848,-3.13,0.0408181818181818,1.3470000000000002,0.036,1.1880000000000002,-0.0009090909090909,-0.0299999999999999,0.1578181818181818,5.207999999999999,0.1074545454545454,3.546,0.1502121212121212,4.957,0.1538181818181818,5.0760000000000005,0.0572727272727272,1.89,3.0,3.0,3.0,3.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0
"Vinte anos antes, um pervertido assassino em série sequestrou e matou cinco meninos.",13.0,0.0,0.0,0.0,0.0,0.0119047619047619,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.0558666666666666,-0.8380000000000001,-0.0561333333333333,-0.842,-0.0454666666666666,-0.6819999999999998,-0.0277999999999999,-0.4169999999999999,0.0380666666666666,0.571,0.1381333333333333,2.072,0.0561333333333333,0.842,0.1638666666666666,2.458,0.1308666666666666,1.963,0.0380666666666666,0.571,2.0,2.0,2.0,2.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
"Nesse livro se desenrola uma história onde o próprio assassino se torna vitima de seu plano, mas não porque tenha dado errado, mas pelo contrario, deu tão certo que quando ele quis contar a verdade ninguém, mas ninguém mesmo, acreditava nele.",41.0,0.0,0.0,0.0,0.0,0.0041322314049586,1.0,3.0,1.0,1.0,3.0,5.0,0.0,7.0,0.0,0.0,7.0,0.0,6.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0019999999999999,0.0939999999999999,-0.0145106382978723,-0.682,0.0009148936170212,0.0429999999999999,0.0042127659574468,0.198,0.0151914893617021,0.7140000000000001,0.0366808510638297,1.724,0.0280425531914893,1.318,0.0348297872340425,1.637,0.0378723404255319,1.78,0.0182978723404255,0.86,7.0,7.0,7.0,7.0,0.1489361702127659,0.1489361702127659,0.1489361702127659,0.1489361702127659,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0
"O livro em si trata de forma intensa a vida de um portador de transtorno mental, nos alerta quanto as maneiras de lidar com pessoas que passam por isso.",29.0,0.0,0.0,0.0,0.0,0.006578947368421,2.0,7.0,2.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0794516129032257,2.463,-0.0548387096774193,-1.7000000000000002,0.1106451612903225,3.43,0.1169032258064516,3.624,0.0169999999999999,0.5269999999999999,0.1754516129032258,5.439,0.196258064516129,6.084,0.1767096774193548,5.478,0.1877419354838709,5.82,0.0357096774193548,1.107,4.0,4.0,4.0,4.0,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
Indicado para crianças e pré-adolescentes!,5.0,0.0,0.0,0.0,0.0,0.0238095238095238,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
"O livro é um compilado de 10 contos peculiares (sério?) feito pelo estudioso de peculiaridades Millard Nullings, e retrata o folclore das crianças.",23.0,0.0,0.0,0.0,0.0,0.0204081632653061,2.0,4.0,2.0,1.0,1.0,3.0,0.0,7.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0411785714285714,1.153,-0.0413214285714285,-1.157,0.0594285714285714,1.664,0.0661428571428571,1.8520000000000003,0.0,0.0,0.0918214285714285,2.571,0.0976785714285714,2.735,0.1301428571428571,3.644,0.1065714285714285,2.984,0.0,0.0,1.0,1.0,1.0,1.0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
Ele é um amigo muito querido e respeitado pela família Woodhouse,11.0,0.0,0.0,0.0,0.0,0.03125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0582727272727272,-0.6409999999999999,-0.0806363636363636,-0.887,-0.0427272727272727,-0.47,-0.0172727272727272,-0.1899999999999999,0.0502727272727272,0.553,0.2102727272727272,2.313,0.0991818181818181,1.091,0.2507272727272727,2.758,0.2014545454545454,2.216,0.0502727272727272,0.553,4.0,4.0,4.0,4.0,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
