sentence,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,subjectivity
"Os dois se mudam para uma casa com fama de má assombrada em Faetherbank, no interior e descobrem às duras penas que a residência possui relação com crimes macabros na cidade.",0.0237575757575757,0.784,0.0378181818181818,1.2480000000000002,0.0523939393939393,1.729,0.0454545454545454,1.5,0.0309393939393939,1.021,0.0
"Conta a historia de cada uma de seus momentos marcantes de tim tim por tim fala de os conflitos de uma amizade, de a tristeza quando acontece algo com alguma amiga ...",0.122,4.026,0.2143636363636363,7.074,0.2240909090909091,7.395,0.1842121212121212,6.079000000000001,0.008,0.264,0.0
"De leitura muito fácil, é um livro acessível aos mais jovens.",0.2011538461538461,2.615,0.1361538461538461,1.77,0.2321538461538461,3.018,0.2026923076923076,2.635,0.0465384615384615,0.6050000000000001,0.0
"Ainda arrasado após a perda da esposa, Tom Kennedy se muda com o filho Jake para o pacato vilarejo de Featherbank, em busca de um recomeço mais do que necessário.",0.1578181818181818,5.207999999999999,0.1074545454545454,3.546,0.1502121212121212,4.957,0.1538181818181818,5.0760000000000005,0.0572727272727272,1.89,0.0
"Vinte anos antes, um pervertido assassino em série sequestrou e matou cinco meninos.",0.1381333333333333,2.072,0.0561333333333333,0.842,0.1638666666666666,2.458,0.1308666666666666,1.963,0.0380666666666666,0.571,0.0
"Nesse livro se desenrola uma história onde o próprio assassino se torna vitima de seu plano, mas não porque tenha dado errado, mas pelo contrario, deu tão certo que quando ele quis contar a verdade ninguém, mas ninguém mesmo, acreditava nele.",0.0366808510638297,1.724,0.0280425531914893,1.318,0.0348297872340425,1.637,0.0378723404255319,1.78,0.0182978723404255,0.86,0.0
"O livro em si trata de forma intensa a vida de um portador de transtorno mental, nos alerta quanto as maneiras de lidar com pessoas que passam por isso.",0.1754516129032258,5.439,0.196258064516129,6.084,0.1767096774193548,5.478,0.1877419354838709,5.82,0.0357096774193548,1.107,0.0
Indicado para crianças e pré-adolescentes!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"O livro é um compilado de 10 contos peculiares (sério?) feito pelo estudioso de peculiaridades Millard Nullings, e retrata o folclore das crianças.",0.0918214285714285,2.571,0.0976785714285714,2.735,0.1301428571428571,3.644,0.1065714285714285,2.984,0.0,0.0,0.0
Ele é um amigo muito querido e respeitado pela família Woodhouse,0.2102727272727272,2.313,0.0991818181818181,1.091,0.2507272727272727,2.758,0.2014545454545454,2.216,0.0502727272727272,0.553,0.0
"O livro mostra basicamente três coisas que Hemingway mais gostava. Bebida, boemia e a força da natureza contra o homem.",0.0556086956521739,1.279,0.0110869565217391,0.255,0.0152608695652173,0.351,0.0407826086956521,0.938,0.0526086956521739,1.21,0.0
"A leitura é curta e simples, apesar de ter uma crítica enorme por entre as linhas.",0.1493888888888889,2.689,0.1514444444444444,2.726,0.1284999999999999,2.313,0.1449999999999999,2.6099999999999994,0.0721111111111111,1.298,0.0
"O país e o povo vivem em torpor, um torpor causado pela fome, pela falta de esperança, pela proximidade com a morte.",0.2157307692307692,5.609000000000001,0.1112692307692307,2.893,0.2266923076923077,5.894,0.2322307692307692,6.038,0.1604230769230769,4.171,0.0
Muidinga e Tuahir servem de voz condutora ligando os muitos fios fabulários num eixo comum.,0.05225,0.8360000000000001,0.0740625,1.185,0.065125,1.042,0.0645,1.032,0.0101875,0.163,0.0
"O marido de Verity, Jeremy Crawford, e Lowen combinam da mulher passar um tempo na casa deles para analisar todo o material de Verity.",0.0971481481481481,2.623,0.1137777777777777,3.072,0.142074074074074,3.836,0.1167777777777777,3.153,0.0061851851851851,0.1669999999999999,0.0
"Um livro que explicita com detalhes as consequências de uma guerra, com mistura da cultura africana e o realismo mágico.",0.1101818181818181,2.424,0.1351818181818181,2.974,0.1250909090909091,2.752,0.1251818181818181,2.754,0.0052272727272727,0.115,0.0
"E nessas história a quantidade de temas é gigantesca: racismo, abandono, violência, colonização, sexualidade, identidade nacional etc.",0.1370434782608695,3.152,0.1705652173913043,3.923,0.2169130434782608,4.989,0.199391304347826,4.585999999999999,0.0783913043478261,1.803,0.0
"No meio do material sobre os livros, Lowen encontra um manuscrito que descobre ser uma autobiografia da mulher.",0.04765,0.953,0.01195,0.239,0.0531499999999999,1.063,0.0370499999999999,0.7409999999999999,0.0097,0.194,0.0
O enredo mostra o conflito dos personagens entre os meios e os fins para solucionar o problema de superpopulação do planeta.,0.0336363636363636,0.74,0.0879545454545454,1.935,0.090090909090909,1.982,0.0703181818181818,1.547,0.0065,0.143,0.0
"Inferno remete claramente à obra Divina Comédia do artista Dante Alighieri e seus desdobramentos, onde a pessoa que comete pecados deve sofrer muito para ter a chance de chegar ao Paraíso.",0.0819393939393939,2.704,0.0472121212121212,1.5579999999999998,0.0772424242424242,2.549,0.0906969696969697,2.9930000000000003,0.0794242424242424,2.621,0.0
O livro também aborda a superpopulação como um problema de saúde pública.,0.1023076923076923,1.33,0.081076923076923,1.054,0.2309999999999999,3.003,0.1606153846153846,2.088,0.08,1.04,0.0
A capa contém tons acinzentados com a imagem de Dante e possui dois gráficos.,0.0906,1.359,0.0648666666666666,0.973,0.1072,1.608,0.1027999999999999,1.5419999999999998,0.0456,0.684,0.0
"O livro foi adaptado para o cinema, mas com alterações, como sempre.",0.0047333333333333,0.071,0.0046666666666666,0.07,0.0,0.0,0.0031333333333333,0.047,0.0,0.0,0.0
"O conto se passa no interior de Minas, existindo farta nomeação de lugares e regiões.",0.1216470588235294,2.068,0.1752941176470588,2.9799999999999995,0.1008235294117647,1.714,0.1318823529411764,2.242,0.0022941176470588,0.039,0.0
"Apesar dos neologismos, que podem tornar a leitura um complexa, ele busca a alma dos sertanejos e dos moradores das regiões rurais.",0.07804,1.951,0.0517199999999999,1.293,0.0967599999999999,2.419,0.0755199999999999,1.888,0.0,0.0,0.0
"O Partido utiliza das seguintes ferramentas para controlar a população: a teletela, uma fusão de televisão, câmera e escuta para espionagem.",0.02652,0.663,0.0744399999999999,1.861,0.06756,1.689,0.05492,1.3730000000000002,0.0037199999999999,0.093,0.0
