sentence,rule1,rule2,rule3,rule4,rule5,subjectivity
"Os dois se mudam para uma casa com fama de má assombrada em Faetherbank, no interior e descobrem às duras penas que a residência possui relação com crimes macabros na cidade.",1,0,0,1,0,0
"Conta a historia de cada uma de seus momentos marcantes de tim tim por tim fala de os conflitos de uma amizade, de a tristeza quando acontece algo com alguma amiga ...",0,0,0,1,0,0
"De leitura muito fácil, é um livro acessível aos mais jovens.",0,1,0,1,0,0
"Ainda arrasado após a perda da esposa, Tom Kennedy se muda com o filho Jake para o pacato vilarejo de Featherbank, em busca de um recomeço mais do que necessário.",1,0,0,0,1,0
"Vinte anos antes, um pervertido assassino em série sequestrou e matou cinco meninos.",1,0,0,0,0,0
"Nesse livro se desenrola uma história onde o próprio assassino se torna vitima de seu plano, mas não porque tenha dado errado, mas pelo contrario, deu tão certo que quando ele quis contar a verdade ninguém, mas ninguém mesmo, acreditava nele.",0,1,0,0,0,0
"O livro em si trata de forma intensa a vida de um portador de transtorno mental, nos alerta quanto as maneiras de lidar com pessoas que passam por isso.",0,0,0,1,0,0
Indicado para crianças e pré-adolescentes!,0,0,0,0,0,0
"O livro é um compilado de 10 contos peculiares (sério?) feito pelo estudioso de peculiaridades Millard Nullings, e retrata o folclore das crianças.",0,0,0,1,0,0
Ele é um amigo muito querido e respeitado pela família Woodhouse,0,1,0,0,0,0
"O livro mostra basicamente três coisas que Hemingway mais gostava. Bebida, boemia e a força da natureza contra o homem.",0,0,0,0,1,0
"A leitura é curta e simples, apesar de ter uma crítica enorme por entre as linhas.",0,0,0,1,0,0
"O país e o povo vivem em torpor, um torpor causado pela fome, pela falta de esperança, pela proximidade com a morte.",0,0,0,0,0,0
Muidinga e Tuahir servem de voz condutora ligando os muitos fios fabulários num eixo comum.,0,0,0,1,0,0
"O marido de Verity, Jeremy Crawford, e Lowen combinam da mulher passar um tempo na casa deles para analisar todo o material de Verity.",0,0,0,0,0,0
"Um livro que explicita com detalhes as consequências de uma guerra, com mistura da cultura africana e o realismo mágico.",0,0,0,1,0,0
"E nessas história a quantidade de temas é gigantesca: racismo, abandono, violência, colonização, sexualidade, identidade nacional etc.",0,0,0,1,0,0
"No meio do material sobre os livros, Lowen encontra um manuscrito que descobre ser uma autobiografia da mulher.",0,0,0,0,0,0
O enredo mostra o conflito dos personagens entre os meios e os fins para solucionar o problema de superpopulação do planeta.,0,0,0,0,0,0
"Inferno remete claramente à obra Divina Comédia do artista Dante Alighieri e seus desdobramentos, onde a pessoa que comete pecados deve sofrer muito para ter a chance de chegar ao Paraíso.",0,0,0,0,0,0
O livro também aborda a superpopulação como um problema de saúde pública.,0,0,0,1,1,0
A capa contém tons acinzentados com a imagem de Dante e possui dois gráficos.,0,0,0,0,0,0
"O livro foi adaptado para o cinema, mas com alterações, como sempre.",0,0,0,0,0,0
"O conto se passa no interior de Minas, existindo farta nomeação de lugares e regiões.",1,0,0,0,0,0
"Apesar dos neologismos, que podem tornar a leitura um complexa, ele busca a alma dos sertanejos e dos moradores das regiões rurais.",0,0,0,1,0,0
"O Partido utiliza das seguintes ferramentas para controlar a população: a teletela, uma fusão de televisão, câmera e escuta para espionagem.",1,0,0,0,0,0
"Ler 1984 é um ato de legítima defesa, onde a cada página aprendemos como as engrenagens realmente funcionam na história política da humanidade.",1,0,0,1,1,0
"Vivendo em uma sociedade distópica, Winston, o herói da história, vive uma vida de medo e sofrimento.",0,0,0,1,0,0
"Tudo é controlado minuciosamente pelo partido e tudo é vigiado pelo grande irmão, que é o único salvador e pessoa chave da ideologia.",1,0,0,0,0,0
"Eles enfrentaram os mistérios mais sinistros dos últimos sessenta anos, sempre em busca da verdade.",0,0,0,0,0,0
"Levanta algumas questões filosóficas mas não se aprofunda muito, deixa pra o leitor refletir depois.",0,0,0,1,0,0
Após uma guerra nuclear poucos seres humanos permaneceram na Terra.,0,0,0,1,0,0
Boa parte da população agora vive em Marte junto a androides contruídos para trabalhar em grandes explorações espaciais.,1,0,0,1,1,0
Para suprir necessidades de afeto foram criadas versões mecânicas dos bichinhos de estimação.,0,0,0,1,0,0
"Deckard, entretanto, não tem condições financeiras para isso e por isso continua preso à Terra e se torna um caçador de androides.",0,0,0,1,1,0
"Ao mesmo tempo pode-se perceber toda a crueldade que a Segunda Guerra Mundial espalhava, dividindo as pessoas entre o medo, a submissão e a sede de justiça.",1,0,0,0,0,0
