count_words,pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_part,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,count_named_entities,count_number_date_time,future_tense,rule1,rule2,rule3,rule4,rule5,count_capitalized,count_dictionary_words,count_elongated,count_expressions,count_mentions,count_url,emoji_polarity_score,emoticon_polarity_score,negation,proportion_capitalized,subjectivity
31.0,0.0,0.0,0.0,0.0,0.011494252873563218,3.0,8.0,3.0,0.0,1.0,3.0,0.0,8.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.02375757575757576,0.784,0.03781818181818183,1.2480000000000002,0.052393939393939395,1.729,0.045454545454545456,1.5,0.030939393939393937,1.021,5.0,5.0,5.0,5.0,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.15151515151515152,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.005988023952095809,1.0,7.0,1.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.122,4.026,0.21436363636363637,7.074,0.2240909090909091,7.395,0.18421212121212124,6.079000000000001,0.008,0.264,5.0,5.0,5.0,5.0,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.01639344262295082,2.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20115384615384618,2.615,0.13615384615384615,1.77,0.23215384615384618,3.0180000000000002,0.20269230769230767,2.635,0.04653846153846154,0.6050000000000001,3.0,3.0,3.0,3.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.030864197530864196,2.0,8.0,2.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.1578181818181818,5.207999999999999,0.10745454545454546,3.546,0.1502121212121212,4.957,0.15381818181818183,5.0760000000000005,0.05727272727272727,1.89,3.0,3.0,3.0,3.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.011904761904761904,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.13813333333333333,2.072,0.056133333333333334,0.842,0.16386666666666666,2.4579999999999997,0.13086666666666666,1.963,0.038066666666666665,0.571,2.0,2.0,2.0,2.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.004132231404958678,1.0,3.0,1.0,1.0,3.0,5.0,0.0,7.0,0.0,0.0,7.0,0.0,6.0,2.0,0.0,8.0,0.0,0.0,0.0,0.03668085106382979,1.724,0.028042553191489364,1.318,0.03482978723404255,1.637,0.03787234042553191,1.78,0.01829787234042553,0.86,7.0,7.0,7.0,7.0,0.14893617021276595,0.14893617021276595,0.14893617021276595,0.14893617021276595,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0
29.0,0.0,0.0,0.0,0.0,0.006578947368421052,2.0,7.0,2.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.1754516129032258,5.439,0.196258064516129,6.084,0.17670967741935484,5.478,0.18774193548387097,5.82,0.03570967741935484,1.107,4.0,4.0,4.0,4.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.023809523809523808,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.02040816326530612,2.0,4.0,2.0,1.0,1.0,3.0,0.0,7.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.09182142857142857,2.5709999999999997,0.09767857142857142,2.735,0.13014285714285714,3.644,0.10657142857142857,2.984,0.0,0.0,1.0,1.0,1.0,1.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.03125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21027272727272728,2.313,0.09918181818181818,1.091,0.25072727272727274,2.758,0.20145454545454544,2.2159999999999997,0.050272727272727274,0.553,4.0,4.0,4.0,4.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
