sentence,count_capitalized,count_dictionary_words,count_elongated,count_expressions,count_mentions,count_url,emoji_polarity_score,emoticon_polarity_score,negation,proportion_capitalized,subjectivity
"""Ambiente agradável, bons pratos, comida saborosa , bom serviço, vale a pena conferir, bom tempero, recomendo""",0.0,0.0,0.0,0.0,0.009090909090909,14.0,0.0,0.0,0.0,0.0,1.0
"""Lugar muito agradável, comida excelente é importante o bom atendimento dos garçons.""",0.0,0.0,0.0,0.0,0.0117647058823529,11.0,0.0,0.0,0.0,0.0,1.0
"""Recomendo.""",0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0
"""Pedimos um pirarucu ao molho de tucupi e não arrependemos""",0.0,0.0,0.0,0.0,0.0169491525423728,9.0,0.0,0.0,0.0,1.0,0.0
"""O Coqueiro verde serve uma deliciosa carne de sol, também contam com serviço de entrega o que é uma boa pedida para quem não quer sair de casa.. O serviço no restaurante é simples, a comida também, mas muito gostosa..""",0.0,0.0,0.0,0.0,0.0136986301369863,37.0,0.0,0.0,0.0,1.0,1.0
"""Ambiente confortável, ótimo atendimento com um garçon simpático, ele nos contou a história do empreendimento e sempre bem solícito.""",0.0,0.0,0.0,0.0,0.0075187969924812,17.0,0.0,0.0,0.0,0.0,1.0
"""Comida Boa por um bom preço.""",0.0,0.0,0.0,0.0,0.0666666666666666,4.0,0.0,0.0,0.0,0.0,1.0
"""O restaurante fica dentro do hotel Vila Amazônia""",0.0,0.0,0.0,0.0,0.06,7.0,0.0,0.0,0.0,0.0,0.0
"""Boa carne, atendimento eficiente e grande variedade de saladas.""",0.0,0.0,0.0,0.0,0.0153846153846153,8.0,0.0,0.0,0.0,0.0,1.0
"""Local agradável.""",0.0,0.0,0.0,0.0,0.0555555555555555,1.0,0.0,0.0,0.0,0.0,1.0
"""Sucos com frutas locais além dos tradicionais.""",0.0,0.0,0.0,0.0,0.0208333333333333,6.0,0.0,0.0,0.0,0.0,0.0
"""Adoro as pizzas e o almoço, nas duas unidades.""",0.0,0.0,0.0,0.0,0.0208333333333333,8.0,0.0,0.0,0.0,0.0,1.0
"""O atendimento também é muito bom.""",0.0,0.0,0.0,0.0,0.0285714285714285,5.0,0.0,0.0,0.0,0.0,1.0
"""Delivery também vale super a pena.. a pizza chega bem quentinha!""",0.0,0.0,0.0,0.0,0.0151515151515151,10.0,0.0,0.0,0.0,0.0,1.0
"""Estivemos no kawamura para provar o sashimi, mas acabamos provando outros pratos tbm, gostamos de tudo, porém faltou um pouquinho de tempero na costelinha de porco.""",0.0,0.0,0.0,0.0,0.0060240963855421,23.0,0.0,0.0,0.0,0.0,0.0
"""Mas nada que nos impeça de voltar""",0.0,0.0,0.0,0.0,0.0285714285714285,6.0,0.0,0.0,0.0,0.0,0.0
"""Tambaqui um dos peixes mais gostosos de Manaus e região você pode comprar e fazer o mesmo caldeirada ou assado na brasa com o famoso tucupi, pimenta da região.""",0.0,0.0,0.0,0.0,0.0124223602484472,28.0,0.0,0.0,0.0,0.0,0.0
"""Parada obrigatória sempre que vou a Manaus!!""",0.0,0.0,0.0,0.0,0.0434782608695652,6.0,1.0,0.0,0.0,0.0,0.0
"""Tucunaré, tambaqui e pirarucu, é só escolher, cada um melhor que o outro.""",0.0,0.0,0.0,0.0,0.0133333333333333,12.0,0.0,0.0,0.0,0.0,0.0
"""Atendimento bom, local familiar.""",0.0,0.0,0.0,0.0,0.0294117647058823,4.0,0.0,0.0,0.0,0.0,1.0
"""Amei conhecer,o açaí é delicioso!Tem bastante opção em comida regional,o que nos deixa bem servidos!Super recomendo.""",0.0,0.0,0.0,0.0,0.0254237288135593,15.0,0.0,0.0,0.0,0.0,1.0
"""O tacacá continua bom, mas o problema ainda é o preço.""",0.0,0.0,0.0,0.0,0.0178571428571428,10.0,0.0,0.0,0.0,0.0,1.0
"""Inclusive, recentemente houve um aumento para R$18,00.""",0.0,0.0,0.0,0.0,0.0357142857142857,5.0,0.0,0.0,0.0,0.0,0.0
"""Resultado: só dá para provar de vez em quando.""",0.0,0.0,0.0,0.0,0.0208333333333333,8.0,0.0,0.0,0.0,0.0,0.0
"""Como alternativa, o tacacá do parque rio negro é tão bom quanto e custa bem menos.""",0.0,0.0,0.0,0.0,0.0119047619047619,15.0,0.0,0.0,0.0,0.0,1.0
"""Deliciosos pratos.""",0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0,0.0,1.0
"""Local aconchegante e familar.""",0.0,0.0,0.0,0.0,0.032258064516129,1.0,0.0,0.0,0.0,0.0,1.0
"""Boa comida e boa bebida.""",0.0,0.0,0.0,0.0,0.0384615384615384,4.0,0.0,0.0,0.0,0.0,1.0
"""Ideal para desfrutar um jantar romantico.""",0.0,0.0,0.0,0.0,0.0232558139534883,4.0,0.0,0.0,0.0,0.0,0.0
"""Tucunaré escabeche, e primeira, pirão a gosto.""",0.0,0.0,0.0,0.0,0.0208333333333333,6.0,0.0,0.0,0.0,0.0,0.0
"""Tucunaré peixada sem igual.""",0.0,0.0,0.0,0.0,0.0344827586206896,3.0,0.0,0.0,0.0,0.0,1.0
"""Vários tipos de molho regional, com tucupi e outros.""",0.0,0.0,0.0,0.0,0.0185185185185185,8.0,0.0,0.0,0.0,0.0,0.0
"""A Cachaçaria do Dedé do Shop Manauara brilha aos olhos: é linda, imponente, a decoração é fantástica e você pode ficar ao ladinho de árvores nativas da Amazônia.""",0.0,0.0,0.0,0.0,0.0368098159509202,23.0,0.0,0.0,0.0,0.0,1.0
"""Os pratos, petiscos e bebidas são nota 10!""",0.0,0.0,0.0,0.0,0.0227272727272727,6.0,0.0,0.0,0.0,0.0,1.0
"""Mas....... o serviço às vezes deixa muito a desejar.... mais pela demora.""",0.0,0.0,0.0,0.0,0.0133333333333333,11.0,0.0,0.0,0.0,0.0,1.0
"""Então, tenha paciência!""",0.0,0.0,0.0,0.0,0.04,2.0,0.0,0.0,0.0,0.0,0.0
"""rs O bar lota nos fins de tarde, principalmente às sextas feiras.""",0.0,0.0,0.0,0.0,0.0149253731343283,10.0,0.0,0.0,0.0,0.0,0.0
"""No andar de cima, o burburinho chega a ser insuportável de tanta gente!""",0.0,0.0,0.0,0.0,0.0136986301369863,12.0,0.0,0.0,0.0,0.0,0.0
"""rs Mas se vc quer se divertir, relaxar e degustar pratos deliciosos (experimente o Pirarucu na chapa!""",0.0,0.0,0.0,0.0,0.0194174757281553,13.0,0.0,0.0,0.0,0.0,0.0
"""), aguente..... rs Vale a pena!""",0.0,0.0,0.0,0.0,0.0303030303030303,4.0,0.0,0.0,0.0,0.0,0.0
"""Mesmo com os preços um pouco salgados....""",0.0,0.0,0.0,0.0,0.0232558139534883,6.0,0.0,0.0,0.0,0.0,1.0
"""Vale a pena fazer uma visita e conferir os pratos deliciosos, é um lugar seguro, confortável,refrigerado, familiar e romântico, preço  acessível,""",0.0,0.0,0.0,0.0,0.0068027210884353,22.0,0.0,0.0,0.0,0.0,1.0
"""Muito bom.""",0.0,0.0,0.0,0.0,0.0833333333333333,1.0,0.0,0.0,0.0,0.0,0.0
"""Tanto no atendimento quanto no ambiente, e, principalmente nas variedades encontradas para um excelente café.""",0.0,0.0,0.0,0.0,0.009009009009009,14.0,0.0,0.0,0.0,0.0,0.0
"""Ideal para o domingo de manhã com a família, pois possui um ambiente agradável e uma ótima localização.""",0.0,0.0,0.0,0.0,0.0095238095238095,17.0,0.0,0.0,0.0,0.0,1.0
"""Já fui diversas vezes e sempre levando amigos e parentes para conhecer.""",0.0,0.0,0.0,0.0,0.0136986301369863,11.0,0.0,0.0,0.0,0.0,0.0
"""Porém, da última vez que fui, depois de meses sem ir, notei que o preço aumentou, mas a qualidade não.""",0.0,0.0,0.0,0.0,0.0096153846153846,19.0,0.0,0.0,0.0,1.0,0.0
"""As sopas permanecem as mesmas, com as pequenas variações de sempre em conta do dia da semana e eles nem servem mais água.""",0.0,0.0,0.0,0.0,0.008130081300813,22.0,0.0,0.0,0.0,1.0,0.0
"""Para quem não conhece ainda, recomendo.""",0.0,0.0,0.0,0.0,0.024390243902439,6.0,0.0,0.0,0.0,1.0,0.0
"""Mas acho difícil a casa manter visitantes frequentes com a concorrência que aumenta.""",0.0,0.0,0.0,0.0,0.0116279069767441,12.0,0.0,0.0,0.0,0.0,0.0
"""Otimo rodizio de carne tanto para o almoço como para o jantar, preço bastante em conta, grande variedade de comida, alem de carne, tem massa, saladas, ambiente bom, amplo, atendimento excelente.""",0.0,0.0,0.0,0.0,0.0051020408163265,28.0,0.0,0.0,0.0,0.0,1.0
"""SUPER RECOMENDO.""",2.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0
"""A tradição gaúcha está bem representada o a Búfalo.""",0.0,0.0,0.0,0.0,0.0377358490566037,7.0,0.0,0.0,0.0,0.0,0.0
"""Cortes especiais das mais nobres carnes são um convite todo especial.""",0.0,0.0,0.0,0.0,0.0140845070422535,10.0,0.0,0.0,0.0,0.0,1.0
"""Delicioso, variado e completo buffet.""",0.0,0.0,0.0,0.0,0.0256410256410256,3.0,0.0,0.0,0.0,0.0,1.0
"""Pratos quentes fenomenais.""",0.0,0.0,0.0,0.0,0.0357142857142857,2.0,0.0,0.0,0.0,0.0,1.0
"""Também com opção de comida japonesa e peixes em geral.""",0.0,0.0,0.0,0.0,0.0178571428571428,9.0,0.0,0.0,0.0,0.0,0.0
"""Agrada facilmente todos os gostos.""",0.0,0.0,0.0,0.0,0.0277777777777777,4.0,0.0,0.0,0.0,0.0,0.0
"""Ambiente amplo, confortável e muito agradável.""",0.0,0.0,0.0,0.0,0.0208333333333333,5.0,0.0,0.0,0.0,0.0,1.0
"""Atendimento nota 10.""",0.0,0.0,0.0,0.0,0.0454545454545454,2.0,0.0,0.0,0.0,0.0,1.0
"""Exelente localização.""",0.0,0.0,0.0,0.0,0.0434782608695652,1.0,0.0,0.0,0.0,0.0,1.0
"""O nome do restaurante pode dar uma conotação de vender apenas lanches, mas não é assim, pois possui uma diversidade de sopas no rodízio que oferece.""",0.0,0.0,0.0,0.0,0.0066666666666666,25.0,0.0,0.0,0.0,1.0,0.0
"""E é uma delicia, com destaque para a sopa de carne com legumes acompanhada da deliciosa torradinha.""",0.0,0.0,0.0,0.0,0.0099009900990099,15.0,0.0,0.0,0.0,0.0,1.0
"""atendimento deixa a desejar.""",0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
"""Nem sempre fui bem atendida.""",0.0,0.0,0.0,0.0,0.0333333333333333,4.0,0.0,0.0,0.0,0.0,0.0
"""Mesmo os não vegetarianos comerão bem.""",0.0,0.0,0.0,0.0,0.025,5.0,0.0,0.0,0.0,1.0,0.0
"""Comida de qualidade, com pouco óleo, lembra os restaurantes Adventistas.""",0.0,0.0,0.0,0.0,0.027027027027027,8.0,0.0,0.0,0.0,0.0,1.0
"""Almoçamos em uma sexta feira, fomos em 2 famílias.""",0.0,0.0,0.0,0.0,0.0192307692307692,7.0,0.0,0.0,0.0,0.0,0.0
"""A comida estava boa e bem servida.""",0.0,0.0,0.0,0.0,0.0277777777777777,6.0,0.0,0.0,0.0,0.0,1.0
"""O ambiente é amplo com 2 andares e banheiros bastante limpos.""",0.0,0.0,0.0,0.0,0.0158730158730158,9.0,0.0,0.0,0.0,0.0,1.0
"""O atendimento é cordial.""",0.0,0.0,0.0,0.0,0.0384615384615384,3.0,0.0,0.0,0.0,0.0,1.0
"""O que nos incomodou foi o volume do som da apresentação de um cantor, não permitia conversar em um tom normal, acabou nos irritando.""",0.0,0.0,0.0,0.0,0.0074626865671641,23.0,0.0,0.0,0.0,1.0,0.0
"""O cardápio é bem variado, gostoso, mas o atendimento é muito ruim.""",0.0,0.0,0.0,0.0,0.0147058823529411,11.0,0.0,0.0,0.0,0.0,1.0
"""As garçonetes atendem com um mau humor...parece que estão fazendo um favor, eu mesmo pedi uma tapioca e estou esperando entregarem até hoje!""",0.0,0.0,0.0,1.0,0.0070422535211267,22.0,0.0,0.0,0.0,0.0,0.0
"""Precisa melhorar muito o atendimento ou dar um treinamento porque a comida é muito boa e aquelas funcionárias afundam o restaurante.""",0.0,0.0,0.0,0.0,0.0074626865671641,20.0,0.0,0.0,0.0,0.0,1.0
"""Rodízio contém pizzas e massas e além disso tem cardápio, estacionamento não tem.""",0.0,0.0,0.0,0.0,0.0120481927710843,12.0,0.0,0.0,0.0,1.0,0.0
"""Contém também sopas""",0.0,0.0,0.0,0.0,0.0476190476190476,2.0,0.0,0.0,0.0,0.0,0.0
"""O restaurante do SENAC é bem situado.""",1.0,0.0,0.0,0.0,0.1538461538461538,5.0,0.0,0.0,0.0,0.0,1.0
"""Ambiente super higienizado, atendimento excelente, os preços são ótimos.""",0.0,0.0,0.0,0.0,0.0135135135135135,7.0,0.0,0.0,0.0,0.0,1.0
"""As comidas são excelentes.""",0.0,0.0,0.0,0.0,0.0357142857142857,3.0,0.0,0.0,0.0,0.0,1.0
"""Muito bom..., aconselho!.""",0.0,0.0,0.0,0.0,0.037037037037037,2.0,0.0,0.0,0.0,0.0,0.0
"""Vale experimentar o tambaqui na brasa, é muito bom!!!""",0.0,0.0,0.0,0.0,0.0181818181818181,9.0,0.0,0.0,0.0,0.0,1.0
"""O restaurante é sem luxo, mas o atendimento é muito bom, com garçons simpáticos.""",0.0,0.0,0.0,0.0,0.0121951219512195,13.0,0.0,0.0,0.0,0.0,1.0
"""Muito bom o atendimento.""",0.0,0.0,0.0,0.0,0.0384615384615384,3.0,0.0,0.0,0.0,0.0,1.0
"""Cardápio variado.""",0.0,0.0,0.0,0.0,0.0526315789473684,1.0,0.0,0.0,0.0,0.0,1.0
"""Culinária regional e deliciosa.""",0.0,0.0,0.0,0.0,0.0303030303030303,3.0,0.0,0.0,0.0,0.0,0.0
"""Ambiente agradável.""",0.0,0.0,0.0,0.0,0.0476190476190476,1.0,0.0,0.0,0.0,0.0,1.0
"""Custo benefício alto.""",0.0,0.0,0.0,0.0,0.0434782608695652,3.0,0.0,0.0,0.0,0.0,1.0
"""So vale a pena em datas especiais.""",0.0,0.0,0.0,0.0,0.0277777777777777,6.0,0.0,0.0,0.0,0.0,0.0
"""Recomendo conhecer.""",0.0,0.0,0.0,0.0,0.0476190476190476,1.0,0.0,0.0,0.0,0.0,0.0
"""Lanche em um bairro tradicional e antido de manaus, localizado mas precisamente em uma area rodeada de auto peças.""",0.0,0.0,0.0,0.0,0.0086206896551724,16.0,0.0,0.0,0.0,0.0,0.0
"""O tacacá da Gisela, juntamente com o governo do Estado, promovem todas as quartas o tacacá na bossa que é um evento onde os artistas locais se apresentam no largo.""",0.0,0.0,0.0,0.0,0.0181818181818181,28.0,0.0,0.0,0.0,0.0,0.0
